Donor_Name,Pi_Name,Acceptor_Name,Donor_SMILES,Pi_SMILES,Acceptor_SMILES,SMILES,Source_Class,Anchoring_Group
Coumarin,Thiophene,Cyanoacrylic_acid,O=C1Oc2ccc([At])cc2C=C1,[I]c1ccsc1[Br],[Cl]C=C(C#N)C(=O)O,N#CC(=Cc1sccc1-c1ccc2oc(=O)ccc2c1)C(=O)O,Natural-derived,cyanoacrylate
Coumarin,Thiophene,Acrylic_acid,O=C1Oc2ccc([At])cc2C=C1,[I]c1ccsc1[Br],[Cl]C=CC(=O)O,O=C(O)C=Cc1sccc1-c1ccc2oc(=O)ccc2c1,Natural-derived,carboxylic_acid
Coumarin,Thiophene,Benzoic_acid,O=C1Oc2ccc([At])cc2C=C1,[I]c1ccsc1[Br],[Cl]c1ccc(C(=O)O)cc1,O=C(O)c1ccc(-c2sccc2-c2ccc3oc(=O)ccc3c2)cc1,Natural-derived,carboxylic_acid
Coumarin,Thiophene,Rhodanine-3-acetic_acid,O=C1Oc2ccc([At])cc2C=C1,[I]c1ccsc1[Br],O=C1S/C(=C\[Cl])/C(=O)N1CC(=O)O,O=C(O)CN1C(=O)SC(=Cc2sccc2-c2ccc3oc(=O)ccc3c2)C1=O,Natural-derived,carboxylic_acid
Coumarin,Thiophene,Phosphonic_acid,O=C1Oc2ccc([At])cc2C=C1,[I]c1ccsc1[Br],[Cl]C=CP(=O)(O)O,O=c1ccc2cc(-c3ccsc3C=CP(=O)(O)O)ccc2o1,Natural-derived,phosphonic_acid
Coumarin,Thiophene,Barbituric_acid,O=C1Oc2ccc([At])cc2C=C1,[I]c1ccsc1[Br],O=C1NC(=O)NC(=O)/C1=C/[Cl],O=C1NC(=O)C(=Cc2sccc2-c2ccc3oc(=O)ccc3c2)C(=O)N1,Natural-derived,None
Coumarin,Benzene,Cyanoacrylic_acid,O=C1Oc2ccc([At])cc2C=C1,[I]c1ccc([Br])cc1,[Cl]C=C(C#N)C(=O)O,N#CC(=Cc1ccc(-c2ccc3oc(=O)ccc3c2)cc1)C(=O)O,Natural-derived,cyanoacrylate
Coumarin,Benzene,Acrylic_acid,O=C1Oc2ccc([At])cc2C=C1,[I]c1ccc([Br])cc1,[Cl]C=CC(=O)O,O=C(O)C=Cc1ccc(-c2ccc3oc(=O)ccc3c2)cc1,Natural-derived,carboxylic_acid
Coumarin,Benzene,Benzoic_acid,O=C1Oc2ccc([At])cc2C=C1,[I]c1ccc([Br])cc1,[Cl]c1ccc(C(=O)O)cc1,O=C(O)c1ccc(-c2ccc(-c3ccc4oc(=O)ccc4c3)cc2)cc1,Natural-derived,carboxylic_acid
Coumarin,Benzene,Rhodanine-3-acetic_acid,O=C1Oc2ccc([At])cc2C=C1,[I]c1ccc([Br])cc1,O=C1S/C(=C\[Cl])/C(=O)N1CC(=O)O,O=C(O)CN1C(=O)SC(=Cc2ccc(-c3ccc4oc(=O)ccc4c3)cc2)C1=O,Natural-derived,carboxylic_acid
Coumarin,Benzene,Phosphonic_acid,O=C1Oc2ccc([At])cc2C=C1,[I]c1ccc([Br])cc1,[Cl]C=CP(=O)(O)O,O=c1ccc2cc(-c3ccc(C=CP(=O)(O)O)cc3)ccc2o1,Natural-derived,phosphonic_acid
Coumarin,Benzene,Barbituric_acid,O=C1Oc2ccc([At])cc2C=C1,[I]c1ccc([Br])cc1,O=C1NC(=O)NC(=O)/C1=C/[Cl],O=C1NC(=O)C(=Cc2ccc(-c3ccc4oc(=O)ccc4c3)cc2)C(=O)N1,Natural-derived,None
Coumarin,Furan,Cyanoacrylic_acid,O=C1Oc2ccc([At])cc2C=C1,[I]c1ccoc1[Br],[Cl]C=C(C#N)C(=O)O,N#CC(=Cc1occc1-c1ccc2oc(=O)ccc2c1)C(=O)O,Natural-derived,cyanoacrylate
Coumarin,Furan,Acrylic_acid,O=C1Oc2ccc([At])cc2C=C1,[I]c1ccoc1[Br],[Cl]C=CC(=O)O,O=C(O)C=Cc1occc1-c1ccc2oc(=O)ccc2c1,Natural-derived,carboxylic_acid
Coumarin,Furan,Benzoic_acid,O=C1Oc2ccc([At])cc2C=C1,[I]c1ccoc1[Br],[Cl]c1ccc(C(=O)O)cc1,O=C(O)c1ccc(-c2occc2-c2ccc3oc(=O)ccc3c2)cc1,Natural-derived,carboxylic_acid
Coumarin,Furan,Rhodanine-3-acetic_acid,O=C1Oc2ccc([At])cc2C=C1,[I]c1ccoc1[Br],O=C1S/C(=C\[Cl])/C(=O)N1CC(=O)O,O=C(O)CN1C(=O)SC(=Cc2occc2-c2ccc3oc(=O)ccc3c2)C1=O,Natural-derived,carboxylic_acid
Coumarin,Furan,Phosphonic_acid,O=C1Oc2ccc([At])cc2C=C1,[I]c1ccoc1[Br],[Cl]C=CP(=O)(O)O,O=c1ccc2cc(-c3ccoc3C=CP(=O)(O)O)ccc2o1,Natural-derived,phosphonic_acid
Coumarin,Furan,Barbituric_acid,O=C1Oc2ccc([At])cc2C=C1,[I]c1ccoc1[Br],O=C1NC(=O)NC(=O)/C1=C/[Cl],O=C1NC(=O)C(=Cc2occc2-c2ccc3oc(=O)ccc3c2)C(=O)N1,Natural-derived,None
Coumarin,Thienothiophene,Cyanoacrylic_acid,O=C1Oc2ccc([At])cc2C=C1,[I]c1cc2c(s1)scc2[Br],[Cl]C=C(C#N)C(=O)O,N#CC(=Cc1csc2sc(-c3ccc4oc(=O)ccc4c3)cc12)C(=O)O,Natural-derived,cyanoacrylate
Coumarin,Thienothiophene,Acrylic_acid,O=C1Oc2ccc([At])cc2C=C1,[I]c1cc2c(s1)scc2[Br],[Cl]C=CC(=O)O,O=C(O)C=Cc1csc2sc(-c3ccc4oc(=O)ccc4c3)cc12,Natural-derived,carboxylic_acid
Coumarin,Thienothiophene,Benzoic_acid,O=C1Oc2ccc([At])cc2C=C1,[I]c1cc2c(s1)scc2[Br],[Cl]c1ccc(C(=O)O)cc1,O=C(O)c1ccc(-c2csc3sc(-c4ccc5oc(=O)ccc5c4)cc23)cc1,Natural-derived,carboxylic_acid
Coumarin,Thienothiophene,Rhodanine-3-acetic_acid,O=C1Oc2ccc([At])cc2C=C1,[I]c1cc2c(s1)scc2[Br],O=C1S/C(=C\[Cl])/C(=O)N1CC(=O)O,O=C(O)CN1C(=O)SC(=Cc2csc3sc(-c4ccc5oc(=O)ccc5c4)cc23)C1=O,Natural-derived,carboxylic_acid
