query,year,title,doi,journal,publisher,first_author,issn,eissn,keywords,fulltext_url,pdf_url,abstract,doaj_id
DSSC metal-free organic dye,2026,Theoretical study of the effect of auxiliary acceptors insertion on phenothiazine-based dye DSSC photoelectrical properties,10.1051/e3sconf/202669804001,E3S Web of Conferences,EDP Sciences,Toubbali Hamoud,,2267-1242,,,https://www.e3s-conferences.org/articles/e3sconf/pdf/2026/16/e3sconf_icraeee2026_04001.pdf,"Phenothiazine (PTZ) based dyes have attracted the attention of many researchers in DSSC field. This work takes into account five novel metal-free organic sensitizers (designed based on a phenothiazine-based dye “SR1”) by studying the influence of auxiliary acceptor insertion on their optoelectronic, photovoltaic and chemical properties. This theoretical study was performed by using density functional theory (DFT) and time-dependent DFT (TD-DFT) methods to investigate the geometry, HOMO and LUMO energy, the molecular electrostatic potential (MEP) and the maximum wavelength absorption (λmax). Also, chemical and photovoltaic parameters were calculated. The conclusion of this study shows that the insertion of various auxiliary acceptors has a positive influence on UV-vis absorption spectra, energy gap, chemical and photovoltaic properties of reference dye, which can make the designed dyes good candidates for future DSSC practical applications. Furthermore, SR1-THDP and SR1-QTHZ molecules have shown the lowest band gaps with EGap=1,90 and 1,75 eV respectively and the highest wavelength values with λmax= 715 and 799 nm respectively.",70d1f6bb234b4618a9dfb725cdc79cd1
eco friendly dye sensitized solar cell,2026,Photon Upconversion Strategies for Enhancing Efficiency in Photovoltaic Devices: Mechanisms and Materials Review,10.1051/epjconf/202635601016,EPJ Web of Conferences,EDP Sciences,Ghawade Sonal P.,,2100-014X,,,https://www.epj-conferences.org/articles/epjconf/pdf/2026/12/epjconf_icc2025_01016.pdf,"Photovoltaic devices transform sunlight into electrical power, offering a plentiful and eco-friendly solution to meet global energy demands. Yet, their performance remains limited by the loss of sub-bandgap photons that pass through without absorption. Photon upconversion presents an effective strategy to overcome this issue, transforming those lower-energy photons into higher-energy light suitable for absorption where solar cells exhibit peak quantum yields. This overview highlights recent advancements in diverse high-performance upconversion materials and their successful integration into various photovoltaic technologies, such as crystalline and amorphous silicon cells, GaAs cells, dye-sensitized solar cells, and additional cell variants. It also examines the hurdles and future potential of these materials in photovoltaic systems. This review presents a detailed examination of key advancements and ongoing challenges in upconversion research, designed to inform upcoming investigations and accelerate the broad implementation of these materials in renewable energy production.",3ad4dd2bc8eb4575a20ef23f4db2e312
dye sensitized solar cell,2026,PN Tandem Solar Cells Based on Combination of Dye-Sensitized TiO<sub>2</sub> Photoanode and Perovskite-Sensitized NiO Photocathode,10.3390/mi17010099,Micromachines,MDPI AG,Huan Wang,,2072-666X,PN tandem solar cells; dye-sensitized TiO<sub>2</sub> photoanode; perovskite-sensitized NiO photocathode,https://www.mdpi.com/2072-666X/17/1/99,,"Dye-sensitized solar cells (DSSCs) have attracted significant attention as next-generation photovoltaic devices due to their low cost, simple fabrication process, use of earth-abundant materials, and potential for colour tunability and transparency. p–n tandem DSSCs have garnered particular interest owing to their higher open-circuit voltage compared to single-junction DSSCs. However, the performance of such tandem devices remains limited by relatively low open-circuit voltage and short-circuit current density, primarily due to the scarcity of suitable p-type sensitizers. To address this challenge, we report a novel p–n tandem solar cell integrating a dye-sensitized TiO<sub>2</sub> photoanode with a perovskite-sensitized NiO photocathode, achieving a record power conversion efficiency of 4.02%. By optimizing the thickness of the TiO<sub>2</sub> layer, a maximum open-circuit voltage of 1060 mV and a peak short-circuit current density of 6.11 mA cm<sup>−2</sup> were simultaneously attained.",164f043b4bc9494d9ef8f5315ddeb9fa
DSSC bio-based dye,2026,"Next-generation sensitizers for dye sensitizer solar cells: Molecular engineering, performance metrics, and photostability",10.1016/j.solcom.2026.100161,Solar Compass,Elsevier,Neha Mittal,,2772-9400,Dye-sensitized solar cells (DSSCs); Molecular engineering of sensitizers; Donor–π–acceptor (D–π–A) dye; Structure–property relationships,http://www.sciencedirect.com/science/article/pii/S2772940026000068,,"Dye-sensitized solar cells (DSSCs) constitute a promising class of third-generation photovoltaic devices characterized by cost-effective fabrication, semi-transparency, and efficient operation under solar illumination. At the core of their photoelectrochemical functionality lies the dye sensitizer, which plays a critical role in dictating photon absorption, interfacial electron injection, and the dynamics of charge separation and recombination. This review presents a comprehensive and mechanistic analysis of recent developments in the molecular engineering of sensitizers, with emphasis on donor–π–acceptor (D–π–A) systems, electronic conjugation strategies, anchoring group optimization, and structural modifications that enhance spectral coverage and energy level alignment with the conduction band of a wide-bandgap semiconductor such as TiO2. The performance of conventional ruthenium-based complexes is systematically compared to emerging classes of sensitizers, including metal-free organic dyes, porphyrinoid derivatives, quantum dots, and bio-derived chromophores. Structure–property relationships are elucidated in the context of their impact on photovoltaic parameters such as short-circuit current density (Jsc), open-circuit voltage (Voc), fill factor (FF), and power conversion efficiency (PCE). Particular attention is given to photostability, with a detailed assessment of degradation mechanisms under thermal, photochemical, and electrochemical stress, as well as molecular and interfacial engineering strategies aimed at improving operational durability. The review further discusses current trends and future perspectives, including co-sensitization approaches, sensitizer design for low-intensity illumination environments, integration with solid-state electrolytes, and computational methods for rational dye screening. Collectively, these insights establish a roadmap for the development of next-generation sensitizers with enhanced efficiency, stability, and applicability in scalable DSSC technologies.",ec72941b8d7641299384103e3c64e2cd
green dye sensitized solar cell,2026,Neem-derived silver-decorated RGO/ZnO heterostructure nanocomposite: A bifunctional material for sunlight-driven photocatalysis and solar energy conversion,10.1016/j.jsamd.2026.101117,Journal of Science: Advanced Materials and Devices,Elsevier,Kandasamy Muthusamy,,2468-2179,Green synthesis; Photocatalyst; Ternary Ag/RGO/ZnO composite; Plasmonic effect; Dye-sensitized solar cells,http://www.sciencedirect.com/science/article/pii/S2468217926000225,,"In this study, neem extract was used as both a reducing and capping agent in environmental production in silver/graphene/zinc oxide ternary nanocomposite (Ag/RGO/ZnO NC). Highly densed pebble-stone like Ag/ZnO crystalline nanostructures embedded with RGO sheets were identified through high-resolution transmission electron microscopy (HRTEM). The photocatalytic activity of the green-synthesized Ag/RGO/ZnO NC was evaluated by examining its efficiency in degrading Rhodamine B (RhB) under exposure to sunlight irradiation. The nanocomposite disclosed a significant photocatalytic degradation efficiency of RhB dye with 99.8% due to the generation of hydroxyl radical (●OH), evidenced by terephthalic acid fluorescence study. Similarly, the dye-sensitized solar cell (DSSC) efficiency of the green synthesized samples has also been explored under 1 sun. It was found that Ag/RGO/ZnO DSSC delivered a high power conversion efficiency (PCE) 4.04%, that ∼45% higher than pure ZnO DSSC can be credited to the accordance of Ag and RGO, acting as electron rich, and good interfacial electron mobility. Thus, this study further credits the greener fabrication of photocatalysts and dye-sensitized solar cell efficiency.",6fd3fadc5d2949e0b3ef82df1bd44e05
DSSC natural dye,2026,Enhancing TiO₂-based dye-sensitized solar cell performance using Br₃⁻/I⁻ electrolyte and natural dyes from pomegranate and teak leaves,10.1007/s42452-025-07966-3,Discover Applied Sciences,Springer,Monirul Islam Uzzal,,3004-9261,Dye-sensitized solar cell; Natural dye; Br₃⁻/I⁻ electrolyte; Anthocyanin; Chlorophyll; TiO₂ photoanode,https://doi.org/10.1007/s42452-025-07966-3,,"Abstract This study investigates the novel application of a tribromide/iodide (Br₃⁻/I⁻) redox couple as an alternative electrolyte to enhance the performance of TiO₂-based dye-sensitized solar cells (DSSCs) sensitized with natural dyes extracted from Pomegranate (Punica granatum) and Teak leaf (Tectona grandis). DSSCs were fabricated using an FTO/TiO₂/dye/electrolyte/carbon architecture and evaluated under standard AM 1.5 illumination. Structural and optical characterizations via SEM, XRD, FT-IR, and UV-Vis spectroscopy confirmed successful dye adsorption onto the TiO₂ surface, with the Pomegranate dye showing stronger interaction. The pomegranate-sensitized DSSC using the Br₃⁻/I⁻ electrolyte achieved a Voc of 357 mV, Jsc of 0.54 mA cm⁻², fill factor of 0.409, and a power conversion efficiency (PCE) of 0.0788%. The teak leaf-based cell reached a PCE of 0.0373% under the same conditions. In contrast, cells with the conventional I₃⁻/I⁻ electrolyte yielded lower efficiencies of 0.0255% and 0.0108% for pomegranate and teak leaf dyes, respectively. These results represent significant relative efficiency improvements of 209% and 245%, highlighting the Br₃⁻/I⁻ system as a highly promising, low-cost alternative electrolyte for enhancing the performance of bio-sensitized solar cells.",2cca3fac4e884838aa9e124f5e5d2fd7
DSSC natural dye,2026,Enhancing Power Conversion Efficiency of Natural Dye-Sensitized Solar Cells Through Pigment Interaction Analysis of <i>Delonix regia</i> Extracts,10.3390/colorants5010008,Colorants,MDPI AG,Lin Jiang,,2079-6447,<i>Delonix regia</i> flower; natural dye-sensitized solar cells (DSSCs); purification and separation; PCE optimization; flavanol-based pigments,https://www.mdpi.com/2079-6447/5/1/8,,"Dye-sensitized solar cells (DSSCs) represent a promising low-cost photovoltaic technology with relatively high conversion efficiency and a simple fabrication process. Natural dyes have drawn growing interest compared to ruthenium-based dyes since they are greener. However, the power conversion efficiency (PCE) of natural dyes is generally low. In this study, we investigated novel approaches to improve the PCE of DSSCs using <i>Delonix regia</i> extracts by polarity-based separation using preparative thin-layer chromatography (PTLC). Our study indicated that polarity-based separation can significantly enhance the PCE, with one fraction achieving a PCE of 1.13%, which is high compared to most natural dye-based DSSCs, and is also 1.85 times that of the crude methanol extract. The major compounds in the highest-efficiency layer were flavanol-based dyes. Our study demonstrates the potential antagonistic effects within <i>Delonix regia</i> extracts in DSSC applications, which play a critical role in improving PCE. The study is expected to support future efforts to enhance the PCE of natural compound-based DSSCs, especially those using flavanol-based natural dyes.",30eff27f01cd467c806817435901faba
DSSC natural dye,2026,Emerging DSSC designs: Comparative insights into purified and crude natural dyes as sensitisers,10.1016/j.nxmate.2026.101823,Next Materials,Elsevier,Stanley Ferdinand Mwanga,,2949-8228,DSSCs; Purified dye; Crude dye; Co-sensitisation; Co-adsorbent; Cocktail dyes,http://www.sciencedirect.com/science/article/pii/S2949822826002406,,"Dye-sensitised solar cells (DSSCs) sensitised with natural dyes are among the emerging solar cell technologies that have attracted significant interest among researchers due to their abundance, ease of preparation, and biodegradability. This review highlights emerging DSSC technologies, with emphasis on the use of purified and crude natural dyes as sensitisers. Few available literature reviews surveyed on purified versus crude dyes as sensitisers indicate that crude dyes outperform purified dyes in DSSC applications. Since most crude dyes contain pigments that support both the absorption spectrum and the adsorption of the dye onto semiconductor oxides. Moreover, research findings on limitations and future prospects of using purified or crude natural dyes as sensitisers in DSSCs are uncertain. This shows that the more efforts that are being explored require further future work to improve the performance of both crude and/or purified natural DSSC devices. To boost the efficiency of natural dyes, some strategies, such as co-sensitisation, co-adsorbents, and cocktail dye techniques, have been suggested and used in the literature and are surveyed and discussed in this paper. Furthermore, cocktail dyes comprising natural and synthetic organic dyes can be superior, as many synthetic dyes have high molar extinction coefficients, and their flexible modifications can enable probing some DSSC issues, such as bonding to semiconductor oxides and dye aggregation.",9acdcd3d50d044f5831bb4926ef8abf1
eco friendly dye sensitized solar cell,2026,Dye sensitized solar cell as eco friendly and low cost renewable energy solutions a mini review,10.1007/s43937-026-00138-3,Discover Energy,Springer,Sanjeev Kumar,,2730-7719,Dye-sensitized solar cells; Photoanode; Renewable energy; Photosensitizer; Electrolyte; Counter electrode,https://doi.org/10.1007/s43937-026-00138-3,,"Abstract Global energy demand keeps increasing unprecedentedly with rapid industrial development and population growth, resulting in ever-increasing reliance on fossil fuels and intensifying environmental degradation. Solar energy is the most abundant and environmentally benign renewable energy source; hence, photovoltaics plays an indispensable role in the pursuit of sustainability in the future. Among various emerging photovoltaic technologies, Dye-Sensitized Solar Cells (DSSCs) have been known for their low production cost, environmental compatibility, and better performance in low-intensity and diffused lighting conditions. DSSCs operate based on the photosensitization of a wide band-gap semiconductor, typically TiO2, allowing efficient electron injection and charge transport. This review discusses the basic structure, operational mechanism, and materials engineering of key components of DSSCs, including photoanodes, sensitizers, electrolytes, and counter electrodes, and highlights recent efforts to improve efficiency and long-term stability. Advances in nanostructured TiO2, dye molecular design, quasi-solid electrolytes, and platinum-free electrocatalysts significantly enhance the commercial prospect of DSSCs. Theoretical approaches, such as DFT and TD-DFT, further facilitate the rational design of DSSCs materials by predicting electronic transitions and interfacial charge behavior. Overall, DSSCs remain a promising alternative for clean power generation, particularly in portable, indoor, and building-integrated applications.",679d8040d35a4841876bcc854d1ab2f8
DSSC metal-free organic dye,2026,Critical review of metalloporphyrin drawbacks and additive adverse effects in porphyrin DSSCs toward high efficiency metal free porphyrin sensitizers,10.1007/s44371-026-00589-6,Discover Chemistry,Springer,Darpan Vijaykumar Bhuse,,3005-1193,Porphyrin sensitizers; Metalloporphyrins; Metal free sensitizers; Dye sensitized Solar cells; Energy loss mechanisms,https://doi.org/10.1007/s44371-026-00589-6,,"Abstract Porphyrins are highly conjugated organic systems well suited for dye-sensitized solar cell (DSSC) applications due to their broad absorption spectra and tunable photophysical properties. While metalloporphyrins have historically demonstrated high performance, they face significant challenges, including photobleaching, inefficient electron injection, poor energy level alignment, and limited long term stability. This review focuses on molecular engineering strategies designed to enhance the efficacy of metal free porphyrins in DSSCs. Key approaches include extending π conjugation to broaden light absorption into the near-infrared spectrum, modifying meso and β positions to prevent dye aggregation and optimize energy gaps, and designing asymmetrical push pull structures to facilitate directional charge transfer. Furthermore, the implementation of co-sensitization and the incorporation of bulky substituents are explored as methods to improve charge separation and retard charge recombination, respectively. The review also provides a comparative analysis of energy loss mechanisms in both metalloporphyrin and metal free systems, offering a critical assessment of their respective performance limitations and potential. This work underscores the promise of metal free porphyrins as a viable pathway toward more stable and efficient DSSC technologies.",9e7423c2af41400db6c51063399f2275
