status,year,title,doi,url,final_url,content_type,bytes,materials_found
ok,2026,Theoretical study of the effect of auxiliary acceptors insertion on phenothiazine-based dye DSSC photoelectrical properties,10.1051/e3sconf/202669804001,https://www.e3s-conferences.org/articles/e3sconf/pdf/2026/16/e3sconf_icraeee2026_04001.pdf,https://www.e3s-conferences.org/articles/e3sconf/pdf/2026/16/e3sconf_icraeee2026_04001.pdf,application/pdf; charset=binary,3797167,1
ok,2026,Photon Upconversion Strategies for Enhancing Efficiency in Photovoltaic Devices: Mechanisms and Materials Review,10.1051/epjconf/202635601016,https://www.epj-conferences.org/articles/epjconf/pdf/2026/12/epjconf_icc2025_01016.pdf,https://www.epj-conferences.org/articles/epjconf/pdf/2026/12/epjconf_icc2025_01016.pdf,application/pdf; charset=binary,385156,1
ok,2026,Neem-derived silver-decorated RGO/ZnO heterostructure nanocomposite: A bifunctional material for sunlight-driven photocatalysis and solar energy conversion,10.1016/j.jsamd.2026.101117,http://www.sciencedirect.com/science/article/pii/S2468217926000225,https://www.sciencedirect.com/science/article/pii/S2468217926000225,text/html; charset=utf-8,196242,3
ok,2026,Enhancing TiO₂-based dye-sensitized solar cell performance using Br₃⁻/I⁻ electrolyte and natural dyes from pomegranate and teak leaves,10.1007/s42452-025-07966-3,https://doi.org/10.1007/s42452-025-07966-3,https://link.springer.com/article/10.1007/s42452-025-07966-3?error=cookies_not_supported&code=ef0c1c40-0443-4e2a-b2f5-872bef8edb9a,text/html; charset=utf-8,435619,11
ok,2026,Emerging DSSC designs: Comparative insights into purified and crude natural dyes as sensitisers,10.1016/j.nxmate.2026.101823,http://www.sciencedirect.com/science/article/pii/S2949822826002406,https://www.sciencedirect.com/science/article/pii/S2949822826002406,text/html; charset=utf-8,175553,1
ok,2026,Dye sensitized solar cell as eco friendly and low cost renewable energy solutions a mini review,10.1007/s43937-026-00138-3,https://doi.org/10.1007/s43937-026-00138-3,https://link.springer.com/article/10.1007/s43937-026-00138-3?error=cookies_not_supported&code=ab0673d3-5c37-4a7b-b6ad-6445849503cd,text/html; charset=utf-8,809559,17
ok,2026,Critical review of metalloporphyrin drawbacks and additive adverse effects in porphyrin DSSCs toward high efficiency metal free porphyrin sensitizers,10.1007/s44371-026-00589-6,https://doi.org/10.1007/s44371-026-00589-6,https://link.springer.com/article/10.1007/s44371-026-00589-6?error=cookies_not_supported&code=02a4e3f2-4257-46bd-a602-2d6d1ff56e9a,text/html; charset=utf-8,1055667,6
ok,2026,Biosynthesized nickel oxide honeycomb nanostructures for DSSC counter electrode: a joint experimental and density functional theory study,10.1088/2053-1591/ae2f27,https://doi.org/10.1088/2053-1591/ae2f27,https://validate.perfdrive.com/fb803c746e9148689b3984a31fccd902/?ssa=60a1de6b-8aa6-4e74-9257-c52c82c5ddf1&ssb=39764214018&ssc=https%3A%2F%2Fiopscience.iop.org%2Farticle%2F10.1088%2F2053-1591%2Fae2f27&ssi=fa00d810-cnvj-403e-aae3-5c5b7e7b2bda&ssk=botmanager_support@radware.com&ssm=09548989209614675109470292492804&ssn=815ee07aa76ce29f2c3d96efb16989e35aabb0ff4000-15f1-4269-ad095f&sso=501da819-85101079f9c924bd3c0c53c6d3dc3340d26fa1a854303875&ssp=19951095331777204552177722086306003&ssq=95460017014432052662970144363055381066341&ssr=MTAzLjIwOC45NC4zOQ==&sst=dssc-green-material-scraper/1.0&ssu=&ssv=&ssw=&ssx=eyJ1em14IjoiN2Y5MDAwMTNmYjM5ZGYtZTM1NS00NDk5LWI2ZjQtMWY0ZmQ0YTU1ZTYzMS0xNzc3MjcwMTQ0NDk3MC1hZWIwMmJmYjkxYmIxMTU0MTAiLCJyZCI6ImlvcC5vcmciLCJfX3V6bWYiOiI3ZjkwMDBiMGZmNDAwMC0xNWYxLTQyNjktYTgxOS04NTEwMTA3OWY5YzkxLTE3NzcyNzAxNDQ0OTcwLTAwM2Q2Zjg0YWMwNGMxN2I5NmExMCJ9,text/html; charset=UTF-8,14371,1
ok,2026,Biomass-derived rGO-like carbon from oil palm petioles integrated with NiO/PEDOT:PSS composites for counter electrodes in dye-sensitized solar cells,10.1016/j.rineng.2025.108918,http://www.sciencedirect.com/science/article/pii/S2590123025049618,https://www.sciencedirect.com/science/article/pii/S2590123025049618,text/html; charset=utf-8,185484,6
ok,2026,"Next-generation sensitizers for dye sensitizer solar cells: Molecular engineering, performance metrics, and photostability",10.1016/j.solcom.2026.100161,http://www.sciencedirect.com/science/article/pii/S2772940026000068,https://www.sciencedirect.com/science/article/pii/S2772940026000068,text/html; charset=utf-8,188122,1
error:HTTPError,2026,Enhancing Power Conversion Efficiency of Natural Dye-Sensitized Solar Cells Through Pigment Interaction Analysis of Delonix regia Extracts,10.3390/colorants5010008,https://www.mdpi.com/2079-6447/5/1/8/pdf,https://www.mdpi.com/2079-6447/5/1/8/pdf,,0,1
ok,2025,TiO2/Pt-Free DSSC produced with Nb2O5 and Polyaniline: a preliminary study,10.1590/pttr6175,http://www.scielo.br/pdf/ce/v71/1678-4553-ce-71-ePTTR6175.pdf,http://www.scielo.br/j/ce/a/rgWMd5ZT8JpHCqjZfkDYWJk/?format=pdf&lang=en,application/pdf,1253677,8
ok,2025,Tagetes erecta (marigold) flower extract in the different solvents used as a capping agent and sensitizer for TiO2 photoanode based DSSC,10.1016/j.nxmate.2025.100875,http://www.sciencedirect.com/science/article/pii/S2949822825003934,https://www.sciencedirect.com/science/article/pii/S2949822825003934,text/html; charset=utf-8,176637,3
error:HTTPError,2025,Synergistic Effect of Acacia (Cassia siamea) Leaves Extract in Green Synthesis of Ag/TiO2 Nanostructures for Dye-Sensitized Solar Cells,10.53293/jasn.2025.7620.1343,https://jasn.uotechnology.edu.iq/article_24955_1f937f7bac0e9ca1464d9dfe29a17fb6.pdf,https://jasn.uotechnology.edu.iq/article_24955_1f937f7bac0e9ca1464d9dfe29a17fb6.pdf,,0,3
ok,2025,Sustainable synthesis of TiO2 nanoparticles from gambier leaf extract for enhanced DSSC photocurrent response,10.1016/j.rinma.2025.100752,http://www.sciencedirect.com/science/article/pii/S2590048X25000974,https://www.sciencedirect.com/science/article/pii/S2590048X25000974,text/html; charset=utf-8,188776,1
ok,2025,Study on dye-sensitized solar cell efficiency improvement using methyl orange dye,10.1007/s40243-025-00296-9,https://doi.org/10.1007/s40243-025-00296-9,https://link.springer.com/article/10.1007/s40243-025-00296-9?error=cookies_not_supported&code=585d500e-473b-44fd-9e95-7f79fe5bfc97,text/html; charset=utf-8,358556,6
