Donor_Name,Pi_Name,Acceptor_Name,Donor_SMILES,Pi_SMILES,Acceptor_SMILES,SMILES,Source_Class,Anchoring_Group,Predicted_Abs_Max_nm,Predicted_PCE_Percent
Cyanidin_inspired,Thienothiophene,Acrylic_acid,Oc1ccc(O)c(-c2[o+]c3cc(O)cc(O)c3cc2[At])c1,[I]c1cc2c(s1)scc2[Br],[Cl]C=CC(=O)O,O=C(O)C=Cc1csc2sc(-c3cc4c(O)cc(O)cc4[o+]c3-c3cc(O)ccc3O)cc12,Natural-derived,carboxylic_acid,409.03197001289243,9.326249999999998
Kaempferol_inspired,Benzothiadiazole,Acrylic_acid,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)c([At])cc21,[I]c1ccc2nsnc2c1[Br],[Cl]C=CC(=O)O,O=C(O)C=Cc1c(-c2cc3c(=O)c(O)c(-c4ccc(O)cc4)oc3cc2O)ccc2nsnc12,Natural-derived,carboxylic_acid,411.5644549129254,9.320350000000003
Cyanidin_inspired,Thienothiophene,Phosphonic_acid,Oc1ccc(O)c(-c2[o+]c3cc(O)cc(O)c3cc2[At])c1,[I]c1cc2c(s1)scc2[Br],[Cl]C=CP(=O)(O)O,O=P(O)(O)C=Cc1csc2sc(-c3cc4c(O)cc(O)cc4[o+]c3-c3cc(O)ccc3O)cc12,Natural-derived,phosphonic_acid,410.22003691010156,9.2855
Genistein_inspired,Benzothiadiazole,Cyanoacrylic_acid,O=c1c(-c2ccc(O)cc2)coc2cc(O)c([At])cc21,[I]c1ccc2nsnc2c1[Br],[Cl]C=C(C#N)C(=O)O,N#CC(=Cc1c(-c2cc3c(=O)c(-c4ccc(O)cc4)coc3cc2O)ccc2nsnc12)C(=O)O,Natural-derived,cyanoacrylate,415.8471720624534,9.224250000000001
Cyanidin_inspired,Bithiophene,Acrylic_acid,Oc1ccc(O)c(-c2[o+]c3cc(O)cc(O)c3cc2[At])c1,[I]c1ccsc1-c2cc([Br])cs2,[Cl]C=CC(=O)O,O=C(O)C=Cc1csc(-c2sccc2-c2cc3c(O)cc(O)cc3[o+]c2-c2cc(O)ccc2O)c1,Natural-derived,carboxylic_acid,417.9330931569067,9.222099999999998
Luteolin_inspired,Benzothiadiazole,Acrylic_acid,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)c([At])cc21,[I]c1ccc2nsnc2c1[Br],[Cl]C=CC(=O)O,O=C(O)C=Cc1c(-c2cc3c(=O)cc(-c4ccc(O)c(O)c4)oc3cc2O)ccc2nsnc12,Natural-derived,carboxylic_acid,418.03611098569047,9.210150000000002
Kaempferol_inspired,Benzothiadiazole,Cyanoacrylic_acid,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)c([At])cc21,[I]c1ccc2nsnc2c1[Br],[Cl]C=C(C#N)C(=O)O,N#CC(=Cc1c(-c2cc3c(=O)c(O)c(-c4ccc(O)cc4)oc3cc2O)ccc2nsnc12)C(=O)O,Natural-derived,cyanoacrylate,415.9686330413338,9.19095
Bisdemethoxycurcumin_inspired,Bithiophene,Cyanoacrylic_acid,O=C(/C=C/c1ccc(O)cc1)/C=C/c2ccc(O)c([At])c2,[I]c1ccsc1-c2cc([Br])cs2,[Cl]C=C(C#N)C(=O)O,N#CC(=Cc1csc(-c2sccc2-c2cc(C=CC(=O)C=Cc3ccc(O)cc3)ccc2O)c1)C(=O)O,Natural-derived,cyanoacrylate,421.2747852571779,9.155799999999996
Pelargonidin_inspired,Thienothiophene,Phosphonic_acid,Oc1ccc(-c2[o+]c3cc(O)cc(O)c3cc2[At])cc1,[I]c1cc2c(s1)scc2[Br],[Cl]C=CP(=O)(O)O,O=P(O)(O)C=Cc1csc2sc(-c3cc4c(O)cc(O)cc4[o+]c3-c3ccc(O)cc3)cc12,Natural-derived,phosphonic_acid,401.0873647019559,9.150599999999999
Genistein_inspired,Bithiophene,Cyanoacrylic_acid,O=c1c(-c2ccc(O)cc2)coc2cc(O)c([At])cc21,[I]c1ccsc1-c2cc([Br])cs2,[Cl]C=C(C#N)C(=O)O,N#CC(=Cc1csc(-c2sccc2-c2cc3c(=O)c(-c4ccc(O)cc4)coc3cc2O)c1)C(=O)O,Natural-derived,cyanoacrylate,427.7493664274754,9.128649999999999
Luteolin_inspired,Benzothiadiazole,Cyanoacrylic_acid,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)c([At])cc21,[I]c1ccc2nsnc2c1[Br],[Cl]C=C(C#N)C(=O)O,N#CC(=Cc1c(-c2cc3c(=O)cc(-c4ccc(O)c(O)c4)oc3cc2O)ccc2nsnc12)C(=O)O,Natural-derived,cyanoacrylate,422.68550459942577,9.11005
Cyanidin_inspired,Bithiophene,Phosphonic_acid,Oc1ccc(O)c(-c2[o+]c3cc(O)cc(O)c3cc2[At])c1,[I]c1ccsc1-c2cc([Br])cs2,[Cl]C=CP(=O)(O)O,O=P(O)(O)C=Cc1csc(-c2sccc2-c2cc3c(O)cc(O)cc3[o+]c2-c2cc(O)ccc2O)c1,Natural-derived,phosphonic_acid,416.59377907051856,9.088649999999998
Quercetin_inspired,Thienothiophene,Cyanoacrylic_acid,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)c([At])cc21,[I]c1cc2c(s1)scc2[Br],[Cl]C=C(C#N)C(=O)O,N#CC(=Cc1csc2sc(-c3cc4c(=O)c(O)c(-c5ccc(O)c(O)c5)oc4cc3O)cc12)C(=O)O,Natural-derived,cyanoacrylate,412.9797636420364,9.0824
Apigenin_inspired,Benzothiadiazole,Cyanoacrylic_acid,O=c1cc(-c2ccc(O)cc2)oc2cc(O)c([At])cc21,[I]c1ccc2nsnc2c1[Br],[Cl]C=C(C#N)C(=O)O,N#CC(=Cc1c(-c2cc3c(=O)cc(-c4ccc(O)cc4)oc3cc2O)ccc2nsnc12)C(=O)O,Natural-derived,cyanoacrylate,417.21751854793763,9.06685
Genistein_inspired,Bithiophene,Phosphonic_acid,O=c1c(-c2ccc(O)cc2)coc2cc(O)c([At])cc21,[I]c1ccsc1-c2cc([Br])cs2,[Cl]C=CP(=O)(O)O,O=c1c(-c2ccc(O)cc2)coc2cc(O)c(-c3ccsc3-c3cc(C=CP(=O)(O)O)cs3)cc12,Natural-derived,phosphonic_acid,414.6232974434166,9.062649999999998
Pelargonidin_inspired,Benzothiadiazole,Acrylic_acid,Oc1ccc(-c2[o+]c3cc(O)cc(O)c3cc2[At])cc1,[I]c1ccc2nsnc2c1[Br],[Cl]C=CC(=O)O,O=C(O)C=Cc1c(-c2cc3c(O)cc(O)cc3[o+]c2-c2ccc(O)cc2)ccc2nsnc12,Natural-derived,carboxylic_acid,410.4250111239829,9.05555
Delphinidin_inspired,Thienothiophene,Cyanoacrylic_acid,Oc1c(O)c(O)cc(-c2[o+]c3cc(O)cc(O)c3cc2[At])c1,[I]c1cc2c(s1)scc2[Br],[Cl]C=C(C#N)C(=O)O,N#CC(=Cc1csc2sc(-c3cc4c(O)cc(O)cc4[o+]c3-c3cc(O)c(O)c(O)c3)cc12)C(=O)O,Natural-derived,cyanoacrylate,411.52550905383373,9.04175
Luteolin_inspired,Thienothiophene,Cyanoacrylic_acid,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)c([At])cc21,[I]c1cc2c(s1)scc2[Br],[Cl]C=C(C#N)C(=O)O,N#CC(=Cc1csc2sc(-c3cc4c(=O)cc(-c5ccc(O)c(O)c5)oc4cc3O)cc12)C(=O)O,Natural-derived,cyanoacrylate,421.1985028407987,9.0285
Myricetin_inspired,Thienothiophene,Cyanoacrylic_acid,O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)c([At])cc21,[I]c1cc2c(s1)scc2[Br],[Cl]C=C(C#N)C(=O)O,N#CC(=Cc1csc2sc(-c3cc4c(=O)c(O)c(-c5cc(O)c(O)c(O)c5)oc4cc3O)cc12)C(=O)O,Natural-derived,cyanoacrylate,413.7735551151226,9.0278
Quercetin_inspired,Benzothiadiazole,Acrylic_acid,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)c([At])cc21,[I]c1ccc2nsnc2c1[Br],[Cl]C=CC(=O)O,O=C(O)C=Cc1c(-c2cc3c(=O)c(O)c(-c4ccc(O)c(O)c4)oc3cc2O)ccc2nsnc12,Natural-derived,carboxylic_acid,410.0945376905137,9.020050000000003
Kaempferol_inspired,Bithiophene,Cyanoacrylic_acid,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)c([At])cc21,[I]c1ccsc1-c2cc([Br])cs2,[Cl]C=C(C#N)C(=O)O,N#CC(=Cc1csc(-c2sccc2-c2cc3c(=O)c(O)c(-c4ccc(O)cc4)oc3cc2O)c1)C(=O)O,Natural-derived,cyanoacrylate,418.99165838482236,9.017699999999998
Pelargonidin_inspired,Thienothiophene,Acrylic_acid,Oc1ccc(-c2[o+]c3cc(O)cc(O)c3cc2[At])cc1,[I]c1cc2c(s1)scc2[Br],[Cl]C=CC(=O)O,O=C(O)C=Cc1csc2sc(-c3cc4c(O)cc(O)cc4[o+]c3-c3ccc(O)cc3)cc12,Natural-derived,carboxylic_acid,404.704987111702,9.000449999999999
Quercetin_inspired,Benzothiadiazole,Barbituric_acid,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)c([At])cc21,[I]c1ccc2nsnc2c1[Br],O=C1NC(=O)NC(=O)/C1=C/[Cl],O=C1NC(=O)C(=Cc2c(-c3cc4c(=O)c(O)c(-c5ccc(O)c(O)c5)oc4cc3O)ccc3nsnc23)C(=O)N1,Natural-derived,,423.8069998730929,8.99455
Kaempferol_inspired,Thienothiophene,Cyanoacrylic_acid,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)c([At])cc21,[I]c1cc2c(s1)scc2[Br],[Cl]C=C(C#N)C(=O)O,N#CC(=Cc1csc2sc(-c3cc4c(=O)c(O)c(-c5ccc(O)cc5)oc4cc3O)cc12)C(=O)O,Natural-derived,cyanoacrylate,411.4078229218044,8.993099999999998
Myricetin_inspired,Bithiophene,Cyanoacrylic_acid,O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)c([At])cc21,[I]c1ccsc1-c2cc([Br])cs2,[Cl]C=C(C#N)C(=O)O,N#CC(=Cc1csc(-c2sccc2-c2cc3c(=O)c(O)c(-c4cc(O)c(O)c(O)c4)oc3cc2O)c1)C(=O)O,Natural-derived,cyanoacrylate,420.9236504123862,8.992499999999998
Genistein_inspired,Thienothiophene,Cyanoacrylic_acid,O=c1c(-c2ccc(O)cc2)coc2cc(O)c([At])cc21,[I]c1cc2c(s1)scc2[Br],[Cl]C=C(C#N)C(=O)O,N#CC(=Cc1csc2sc(-c3cc4c(=O)c(-c5ccc(O)cc5)coc4cc3O)cc12)C(=O)O,Natural-derived,cyanoacrylate,412.8700673096571,8.989149999999997
Myricetin_inspired,Benzothiadiazole,Cyanoacrylic_acid,O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)c([At])cc21,[I]c1ccc2nsnc2c1[Br],[Cl]C=C(C#N)C(=O)O,N#CC(=Cc1c(-c2cc3c(=O)c(O)c(-c4cc(O)c(O)c(O)c4)oc3cc2O)ccc2nsnc12)C(=O)O,Natural-derived,cyanoacrylate,415.72132940460835,8.976349999999998
Quercetin_inspired,Bithiophene,Cyanoacrylic_acid,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)c([At])cc21,[I]c1ccsc1-c2cc([Br])cs2,[Cl]C=C(C#N)C(=O)O,N#CC(=Cc1csc(-c2sccc2-c2cc3c(=O)c(O)c(-c4ccc(O)c(O)c4)oc3cc2O)c1)C(=O)O,Natural-derived,cyanoacrylate,420.6759949995723,8.973799999999999
Pelargonidin_inspired,Thienothiophene,Cyanoacrylic_acid,Oc1ccc(-c2[o+]c3cc(O)cc(O)c3cc2[At])cc1,[I]c1cc2c(s1)scc2[Br],[Cl]C=C(C#N)C(=O)O,N#CC(=Cc1csc2sc(-c3cc4c(O)cc(O)cc4[o+]c3-c3ccc(O)cc3)cc12)C(=O)O,Natural-derived,cyanoacrylate,409.74143802244106,8.968149999999998
Genistein_inspired,Bithiophene,Acrylic_acid,O=c1c(-c2ccc(O)cc2)coc2cc(O)c([At])cc21,[I]c1ccsc1-c2cc([Br])cs2,[Cl]C=CC(=O)O,O=C(O)C=Cc1csc(-c2sccc2-c2cc3c(=O)c(-c4ccc(O)cc4)coc3cc2O)c1,Natural-derived,carboxylic_acid,418.00254229582583,8.959149999999998
Quercetin_inspired,Benzothiadiazole,Cyanoacrylic_acid,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)c([At])cc21,[I]c1ccc2nsnc2c1[Br],[Cl]C=C(C#N)C(=O)O,N#CC(=Cc1c(-c2cc3c(=O)c(O)c(-c4ccc(O)c(O)c4)oc3cc2O)ccc2nsnc12)C(=O)O,Natural-derived,cyanoacrylate,419.0573107349503,8.94995
Luteolin_inspired,Bithiophene,Cyanoacrylic_acid,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)c([At])cc21,[I]c1ccsc1-c2cc([Br])cs2,[Cl]C=C(C#N)C(=O)O,N#CC(=Cc1csc(-c2sccc2-c2cc3c(=O)cc(-c4ccc(O)c(O)c4)oc3cc2O)c1)C(=O)O,Natural-derived,cyanoacrylate,421.59752455604104,8.936799999999998
Pelargonidin_inspired,Bithiophene,Acrylic_acid,Oc1ccc(-c2[o+]c3cc(O)cc(O)c3cc2[At])cc1,[I]c1ccsc1-c2cc([Br])cs2,[Cl]C=CC(=O)O,O=C(O)C=Cc1csc(-c2sccc2-c2cc3c(O)cc(O)cc3[o+]c2-c2ccc(O)cc2)c1,Natural-derived,carboxylic_acid,411.16206675165137,8.933699999999996
Cyanidin_inspired,Benzothiadiazole,Acrylic_acid,Oc1ccc(O)c(-c2[o+]c3cc(O)cc(O)c3cc2[At])c1,[I]c1ccc2nsnc2c1[Br],[Cl]C=CC(=O)O,O=C(O)C=Cc1c(-c2cc3c(O)cc(O)cc3[o+]c2-c2cc(O)ccc2O)ccc2nsnc12,Natural-derived,carboxylic_acid,406.4691526507421,8.929149999999998
Malvidin_inspired,Benzothiadiazole,Acrylic_acid,COc1cc(-c2[o+]c3cc(O)cc(O)c3cc2[At])cc(OC)c1O,[I]c1ccc2nsnc2c1[Br],[Cl]C=CC(=O)O,COc1cc(-c2[o+]c3cc(O)cc(O)c3cc2-c2ccc3nsnc3c2C=CC(=O)O)cc(OC)c1O,Natural-derived,carboxylic_acid,413.2712568168114,8.928049999999999
Delphinidin_inspired,Bithiophene,Cyanoacrylic_acid,Oc1c(O)c(O)cc(-c2[o+]c3cc(O)cc(O)c3cc2[At])c1,[I]c1ccsc1-c2cc([Br])cs2,[Cl]C=C(C#N)C(=O)O,N#CC(=Cc1csc(-c2sccc2-c2cc3c(O)cc(O)cc3[o+]c2-c2cc(O)c(O)c(O)c2)c1)C(=O)O,Natural-derived,cyanoacrylate,421.37300315174116,8.924
Pelargonidin_inspired,Bithiophene,Phosphonic_acid,Oc1ccc(-c2[o+]c3cc(O)cc(O)c3cc2[At])cc1,[I]c1ccsc1-c2cc([Br])cs2,[Cl]C=CP(=O)(O)O,O=P(O)(O)C=Cc1csc(-c2sccc2-c2cc3c(O)cc(O)cc3[o+]c2-c2ccc(O)cc2)c1,Natural-derived,phosphonic_acid,414.3919959191246,8.916349999999998
Pelargonidin_inspired,Bithiophene,Cyanoacrylic_acid,Oc1ccc(-c2[o+]c3cc(O)cc(O)c3cc2[At])cc1,[I]c1ccsc1-c2cc([Br])cs2,[Cl]C=C(C#N)C(=O)O,N#CC(=Cc1csc(-c2sccc2-c2cc3c(O)cc(O)cc3[o+]c2-c2ccc(O)cc2)c1)C(=O)O,Natural-derived,cyanoacrylate,418.28918702722535,8.910499999999997
Cyanidin_inspired,Thienothiophene,Cyanoacrylic_acid,Oc1ccc(O)c(-c2[o+]c3cc(O)cc(O)c3cc2[At])c1,[I]c1cc2c(s1)scc2[Br],[Cl]C=C(C#N)C(=O)O,N#CC(=Cc1csc2sc(-c3cc4c(O)cc(O)cc4[o+]c3-c3cc(O)ccc3O)cc12)C(=O)O,Natural-derived,cyanoacrylate,410.78276483911753,8.907950000000001
Pelargonidin_inspired,Benzothiadiazole,Cyanoacrylic_acid,Oc1ccc(-c2[o+]c3cc(O)cc(O)c3cc2[At])cc1,[I]c1ccc2nsnc2c1[Br],[Cl]C=C(C#N)C(=O)O,N#CC(=Cc1c(-c2cc3c(O)cc(O)cc3[o+]c2-c2ccc(O)cc2)ccc2nsnc12)C(=O)O,Natural-derived,cyanoacrylate,410.47441775969344,8.89505
Cyanidin_inspired,Bithiophene,Cyanoacrylic_acid,Oc1ccc(O)c(-c2[o+]c3cc(O)cc(O)c3cc2[At])c1,[I]c1ccsc1-c2cc([Br])cs2,[Cl]C=C(C#N)C(=O)O,N#CC(=Cc1csc(-c2sccc2-c2cc3c(O)cc(O)cc3[o+]c2-c2cc(O)ccc2O)c1)C(=O)O,Natural-derived,cyanoacrylate,420.1261758744658,8.887499999999998
Cyanidin_inspired,Benzothiadiazole,Cyanoacrylic_acid,Oc1ccc(O)c(-c2[o+]c3cc(O)cc(O)c3cc2[At])c1,[I]c1ccc2nsnc2c1[Br],[Cl]C=C(C#N)C(=O)O,N#CC(=Cc1c(-c2cc3c(O)cc(O)cc3[o+]c2-c2cc(O)ccc2O)ccc2nsnc12)C(=O)O,Natural-derived,cyanoacrylate,411.6117681452828,8.883249999999999
Apigenin_inspired,Bithiophene,Cyanoacrylic_acid,O=c1cc(-c2ccc(O)cc2)oc2cc(O)c([At])cc21,[I]c1ccsc1-c2cc([Br])cs2,[Cl]C=C(C#N)C(=O)O,N#CC(=Cc1csc(-c2sccc2-c2cc3c(=O)cc(-c4ccc(O)cc4)oc3cc2O)c1)C(=O)O,Natural-derived,cyanoacrylate,420.6484931753653,8.868399999999996
Apigenin_inspired,Bithiophene,Acrylic_acid,O=c1cc(-c2ccc(O)cc2)oc2cc(O)c([At])cc21,[I]c1ccsc1-c2cc([Br])cs2,[Cl]C=CC(=O)O,O=C(O)C=Cc1csc(-c2sccc2-c2cc3c(=O)cc(-c4ccc(O)cc4)oc3cc2O)c1,Natural-derived,carboxylic_acid,416.87631591561467,8.867549999999996
Delphinidin_inspired,Benzothiadiazole,Acrylic_acid,Oc1c(O)c(O)cc(-c2[o+]c3cc(O)cc(O)c3cc2[At])c1,[I]c1ccc2nsnc2c1[Br],[Cl]C=CC(=O)O,O=C(O)C=Cc1c(-c2cc3c(O)cc(O)cc3[o+]c2-c2cc(O)c(O)c(O)c2)ccc2nsnc12,Natural-derived,carboxylic_acid,409.1645729746756,8.86605
Kaempferol_inspired,Benzothiadiazole,Phosphonic_acid,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)c([At])cc21,[I]c1ccc2nsnc2c1[Br],[Cl]C=CP(=O)(O)O,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)c(-c3ccc4nsnc4c3C=CP(=O)(O)O)cc12,Natural-derived,phosphonic_acid,415.69219191598427,8.842
Quercetin_inspired,Bithiophene,Acrylic_acid,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)c([At])cc21,[I]c1ccsc1-c2cc([Br])cs2,[Cl]C=CC(=O)O,O=C(O)C=Cc1csc(-c2sccc2-c2cc3c(=O)c(O)c(-c4ccc(O)c(O)c4)oc3cc2O)c1,Natural-derived,carboxylic_acid,421.057421702008,8.838
Quercetin_inspired,Thienothiophene,Acrylic_acid,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)c([At])cc21,[I]c1cc2c(s1)scc2[Br],[Cl]C=CC(=O)O,O=C(O)C=Cc1csc2sc(-c3cc4c(=O)c(O)c(-c5ccc(O)c(O)c5)oc4cc3O)cc12,Natural-derived,carboxylic_acid,415.48830706449985,8.8337
Petunidin_inspired,Benzothiadiazole,Acrylic_acid,Oc1c(O)c(OC)cc(-c2[o+]c3cc(O)cc(O)c3cc2[At])c1,[I]c1ccc2nsnc2c1[Br],[Cl]C=CC(=O)O,COc1cc(-c2[o+]c3cc(O)cc(O)c3cc2-c2ccc3nsnc3c2C=CC(=O)O)cc(O)c1O,Natural-derived,carboxylic_acid,411.0772883820193,8.83335
Peonidin_inspired,Thienothiophene,Cyanoacrylic_acid,COc1cc(-c2[o+]c3cc(O)cc(O)c3cc2[At])ccc1O,[I]c1cc2c(s1)scc2[Br],[Cl]C=C(C#N)C(=O)O,COc1cc(-c2[o+]c3cc(O)cc(O)c3cc2-c2cc3c(C=C(C#N)C(=O)O)csc3s2)ccc1O,Natural-derived,cyanoacrylate,411.18488138431627,8.82865
Delphinidin_inspired,Furan,Phosphonic_acid,Oc1c(O)c(O)cc(-c2[o+]c3cc(O)cc(O)c3cc2[At])c1,[I]c1ccoc1[Br],[Cl]C=CP(=O)(O)O,O=P(O)(O)C=Cc1occc1-c1cc2c(O)cc(O)cc2[o+]c1-c1cc(O)c(O)c(O)c1,Natural-derived,phosphonic_acid,401.7880380700736,8.827699999999997
Curcumin_inspired,Benzothiadiazole,Cyanoacrylic_acid,COc1cc(/C=C/C(=O)/C=C/c2cc(OC)c(O)cc2[At])ccc1O,[I]c1ccc2nsnc2c1[Br],[Cl]C=C(C#N)C(=O)O,COc1cc(C=CC(=O)C=Cc2cc(OC)c(O)cc2-c2ccc3nsnc3c2C=C(C#N)C(=O)O)ccc1O,Natural-derived,cyanoacrylate,409.741060797097,8.824199999999998
Apigenin_inspired,Thienothiophene,Cyanoacrylic_acid,O=c1cc(-c2ccc(O)cc2)oc2cc(O)c([At])cc21,[I]c1cc2c(s1)scc2[Br],[Cl]C=C(C#N)C(=O)O,N#CC(=Cc1csc2sc(-c3cc4c(=O)cc(-c5ccc(O)cc5)oc4cc3O)cc12)C(=O)O,Natural-derived,cyanoacrylate,417.6039615245256,8.818699999999998
Chrysin_inspired,Bithiophene,Cyanoacrylic_acid,O=c1cc(-c2ccccc2)oc2cc(O)c([At])cc21,[I]c1ccsc1-c2cc([Br])cs2,[Cl]C=C(C#N)C(=O)O,N#CC(=Cc1csc(-c2sccc2-c2cc3c(=O)cc(-c4ccccc4)oc3cc2O)c1)C(=O)O,Natural-derived,cyanoacrylate,416.2438727927952,8.817799999999998
Demethoxycurcumin_inspired,Bithiophene,Acrylic_acid,Oc1ccc(/C=C/C(=O)/C=C/c2cc(OC)c(O)cc2[At])cc1,[I]c1ccsc1-c2cc([Br])cs2,[Cl]C=CC(=O)O,COc1cc(C=CC(=O)C=Cc2ccc(O)cc2)c(-c2ccsc2-c2cc(C=CC(=O)O)cs2)cc1O,Natural-derived,carboxylic_acid,421.0092284558027,8.814599999999999
Apigenin_inspired,Bithiophene,Phosphonic_acid,O=c1cc(-c2ccc(O)cc2)oc2cc(O)c([At])cc21,[I]c1ccsc1-c2cc([Br])cs2,[Cl]C=CP(=O)(O)O,O=c1cc(-c2ccc(O)cc2)oc2cc(O)c(-c3ccsc3-c3cc(C=CP(=O)(O)O)cs3)cc12,Natural-derived,phosphonic_acid,411.3876978415704,8.809499999999996
Luteolin_inspired,Benzothiadiazole,Phosphonic_acid,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)c([At])cc21,[I]c1ccc2nsnc2c1[Br],[Cl]C=CP(=O)(O)O,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)c(-c3ccc4nsnc4c3C=CP(=O)(O)O)cc12,Natural-derived,phosphonic_acid,425.29866537539243,8.8079
Peonidin_inspired,Benzothiadiazole,Acrylic_acid,COc1cc(-c2[o+]c3cc(O)cc(O)c3cc2[At])ccc1O,[I]c1ccc2nsnc2c1[Br],[Cl]C=CC(=O)O,COc1cc(-c2[o+]c3cc(O)cc(O)c3cc2-c2ccc3nsnc3c2C=CC(=O)O)ccc1O,Natural-derived,carboxylic_acid,409.90427556618835,8.80595
