curation_status,green_material_class,priority_for_ml_dft,year,dye_curated,semiconductor_curated,electrolyte_curated,substrate_curated,active_area_curated,solar_simulator_curated,voc_numeric,jsc_numeric,ff_numeric,pce_percent_numeric,raw_voc,raw_jsc,raw_ff,raw_pce_percent,paper_title,doi,source_url,extraction_source,curation_notes
curated_candidate_needs_final_manual_check,metal_free_organic_dye,high,2024,MS-1,,,,,,0.87,19.52,75.43,12.81,0.87 (0.86± 0.02),19.52 (19.41 ± 0.14),75.43 (74.81 ± 0.46),12.81 (12.78 ± 0.01),Tandem dye-sensitized solar cells achieve 12.89% efficiency using novel organic sensitizers,10.1038/s41598-024-75959-0,https://doi.org/10.1038/s41598-024-75959-0,pdf_table,check_against_original_paper; value_contains_reported_replicate_or_sd; semiconductor_missing
curated_candidate_needs_final_manual_check,metal_free_organic_dye,high,2024,MS-2,,,,,,0.81,18.01,74.85,10.92,0.81 (0.82± 0.04),18.01 (18.44 ± 0.22),74.85 (74.37 ± 0.25),10.92 (10.79 ± 0.04),Tandem dye-sensitized solar cells achieve 12.89% efficiency using novel organic sensitizers,10.1038/s41598-024-75959-0,https://doi.org/10.1038/s41598-024-75959-0,pdf_table,check_against_original_paper; value_contains_reported_replicate_or_sd; semiconductor_missing
curated_candidate_needs_final_manual_check,reference_or_mixed_reference_dye,low_reference_only,2024,N719,,,,,,0.73,16.66,62.49,7.6,0.73 (0.72 ± 0.01),16.66 (16.62 ± 0.02),62.49 (61.25 ± 0.37),7.60 (7.66 ± 0.02),Tandem dye-sensitized solar cells achieve 12.89% efficiency using novel organic sensitizers,10.1038/s41598-024-75959-0,https://doi.org/10.1038/s41598-024-75959-0,pdf_table,check_against_original_paper; value_contains_reported_replicate_or_sd; semiconductor_missing; not_primary_green_candidate
curated_candidate_needs_final_manual_check,reference_or_mixed_reference_dye,low_reference_only,2024,N719 (Top) + MS-1 (Bottom),,,,,,0.88,20.61,71.07,12.89,0.88 (0.88± 0.02),20.61 (20.69 ± 0.21),71.07 (70.72 ± 0.25),12.89 (12.80 ± 0.03),Tandem dye-sensitized solar cells achieve 12.89% efficiency using novel organic sensitizers,10.1038/s41598-024-75959-0,https://doi.org/10.1038/s41598-024-75959-0,pdf_table,check_against_original_paper; value_contains_reported_replicate_or_sd; not_primary_green_candidate
curated_candidate_needs_final_manual_check,green_relevance_needs_manual_check,manual_review,2024,TiO2 nanoparticle + Ag 0.25%,TiO2 nanoparticle + Ag 0.25%,,,,,0.479,2.154,0.551,0.568,0.479,2.154,0.551,0.568,Fabrication of TiO2-Ag composites for working electrode of dye-sensitized solar cells,10.1051/e3sconf/202448101005,https://www.e3s-conferences.org/articles/e3sconf/pdf/2024/11/e3sconf_icschem2024_01005.pdf,pdf_table,check_against_original_paper; dye_missing
curated_candidate_needs_final_manual_check,green_relevance_needs_manual_check,manual_review,2024,TiO2 nanoparticle + Ag 0.50%,TiO2 nanoparticle + Ag 0.50%,,,,,0.506,2.597,0.537,0.706,0.506,2.597,0.537,0.706,Fabrication of TiO2-Ag composites for working electrode of dye-sensitized solar cells,10.1051/e3sconf/202448101005,https://www.e3s-conferences.org/articles/e3sconf/pdf/2024/11/e3sconf_icschem2024_01005.pdf,pdf_table,check_against_original_paper; dye_missing
curated_candidate_needs_final_manual_check,green_relevance_needs_manual_check,manual_review,2024,TiO2 nanoparticle + Ag 0.75%,TiO2 nanoparticle + Ag 0.75%,,,,,0.574,3.514,0.532,1.071,0.574,3.514,0.532,1.071,Fabrication of TiO2-Ag composites for working electrode of dye-sensitized solar cells,10.1051/e3sconf/202448101005,https://www.e3s-conferences.org/articles/e3sconf/pdf/2024/11/e3sconf_icschem2024_01005.pdf,pdf_table,check_against_original_paper; dye_missing
curated_candidate_needs_final_manual_check,green_relevance_needs_manual_check,manual_review,2024,TiO2 nanoparticle + Ag 1%,TiO2 nanoparticle + Ag 1%,,,,,0.53,2.685,0.458,0.651,0.530,2.685,0.458,0.651,Fabrication of TiO2-Ag composites for working electrode of dye-sensitized solar cells,10.1051/e3sconf/202448101005,https://www.e3s-conferences.org/articles/e3sconf/pdf/2024/11/e3sconf_icschem2024_01005.pdf,pdf_table,check_against_original_paper; dye_missing
curated_candidate_needs_final_manual_check,green_relevance_needs_manual_check,manual_review,2024,TiO2 nanoparticle + Ag 2%,TiO2 nanoparticle + Ag 2%,,,,,0.552,1.905,0.566,0.595,0.552,1.905,0.566,0.595,Fabrication of TiO2-Ag composites for working electrode of dye-sensitized solar cells,10.1051/e3sconf/202448101005,https://www.e3s-conferences.org/articles/e3sconf/pdf/2024/11/e3sconf_icschem2024_01005.pdf,pdf_table,check_against_original_paper; dye_missing
curated_candidate_needs_final_manual_check,green_relevance_needs_manual_check,manual_review,2024,TiO2 nanoparticle + Ag 3%,TiO2 nanoparticle + Ag 3%,,,,,0.559,1.957,0.535,0.586,0.559,1.957,0.535,0.586,Fabrication of TiO2-Ag composites for working electrode of dye-sensitized solar cells,10.1051/e3sconf/202448101005,https://www.e3s-conferences.org/articles/e3sconf/pdf/2024/11/e3sconf_icschem2024_01005.pdf,pdf_table,check_against_original_paper; dye_missing
curated_candidate_needs_final_manual_check,green_relevance_needs_manual_check,manual_review,2024,TiO2 nanoparticle,TiO2 nanoparticle,,,,,0.572,2.663,0.537,0.818,0.572,2.663,0.537,0.818,Fabrication of TiO2-Ag composites for working electrode of dye-sensitized solar cells,10.1051/e3sconf/202448101005,https://www.e3s-conferences.org/articles/e3sconf/pdf/2024/11/e3sconf_icschem2024_01005.pdf,pdf_table,check_against_original_paper; dye_missing
curated_candidate_needs_final_manual_check,green_relevance_needs_manual_check,manual_review,2024,TiO2 nanorod treated + Ag 1%,TiO2 nanorod treated + Ag 1%,,,,,0.669,4.458,0.507,1.511,0.669,4.458,0.507,1.511,Fabrication of TiO2-Ag composites for working electrode of dye-sensitized solar cells,10.1051/e3sconf/202448101005,https://www.e3s-conferences.org/articles/e3sconf/pdf/2024/11/e3sconf_icschem2024_01005.pdf,pdf_table,check_against_original_paper; dye_missing
curated_candidate_needs_final_manual_check,green_relevance_needs_manual_check,manual_review,2024,TiO2 nanorod treated + Ag 2%,TiO2 nanorod treated + Ag 2%,,,,,0.62,4.19,0.545,1.415,0.620,4.190,0.545,1.415,Fabrication of TiO2-Ag composites for working electrode of dye-sensitized solar cells,10.1051/e3sconf/202448101005,https://www.e3s-conferences.org/articles/e3sconf/pdf/2024/11/e3sconf_icschem2024_01005.pdf,pdf_table,check_against_original_paper; dye_missing
curated_candidate_needs_final_manual_check,green_relevance_needs_manual_check,manual_review,2024,TiO2 nanorod treated + Ag 3%,TiO2 nanorod treated + Ag 3%,,,,,0.611,3.532,0.581,1.254,0.611,3.532,0.581,1.254,Fabrication of TiO2-Ag composites for working electrode of dye-sensitized solar cells,10.1051/e3sconf/202448101005,https://www.e3s-conferences.org/articles/e3sconf/pdf/2024/11/e3sconf_icschem2024_01005.pdf,pdf_table,check_against_original_paper; dye_missing
curated_candidate_needs_final_manual_check,green_relevance_needs_manual_check,manual_review,2024,TiO2 nanorod treated + Ag 4%,TiO2 nanorod treated + Ag 4%,,,,,0.581,3.014,0.482,0.844,0.581,3.014,0.482,0.844,Fabrication of TiO2-Ag composites for working electrode of dye-sensitized solar cells,10.1051/e3sconf/202448101005,https://www.e3s-conferences.org/articles/e3sconf/pdf/2024/11/e3sconf_icschem2024_01005.pdf,pdf_table,check_against_original_paper; dye_missing
curated_candidate_needs_final_manual_check,green_relevance_needs_manual_check,manual_review,2024,TiO2 nanorod treated,TiO2 nanorod treated,,,,,0.582,3.458,0.52,1.047,0.582,3.458,0.520,1.047,Fabrication of TiO2-Ag composites for working electrode of dye-sensitized solar cells,10.1051/e3sconf/202448101005,https://www.e3s-conferences.org/articles/e3sconf/pdf/2024/11/e3sconf_icschem2024_01005.pdf,pdf_table,check_against_original_paper; dye_missing
curated_candidate_needs_final_manual_check,natural_or_biobased_dye,low_but_green,2024,Pandan leaf; anthocyanin; chlorophyll; curcumin,SnO2,iodide/triiodide (LiI/I2),FTO glass,0.214,"light intensity, temperature and humidity; solar simulator (Bunko-Keiki Co; Solar Simulator CEP-2000SRR)",0.35,0.257,0.574,0.052,0.350,0.257,0.574,0.052,Scattering layers for Titanium dioxide and Tin dioxide Dye-sensitized solar cells with Pandan leaf as a natural sensitizer,10.13044/j.sdewes.d12.0491,http://www.sdewes.org/jsdewes/pid12.0491,html_table,check_against_original_paper
curated_candidate_needs_final_manual_check,natural_or_biobased_dye,medium,2024,Pandan leaf; anthocyanin; chlorophyll; curcumin,SnO2 + SL,iodide/triiodide (LiI/I2),FTO glass,0.214,"light intensity, temperature and humidity; solar simulator (Bunko-Keiki Co; Solar Simulator CEP-2000SRR)",0.363,0.685,0.574,0.143,0.363,0.685,0.574,0.143,Scattering layers for Titanium dioxide and Tin dioxide Dye-sensitized solar cells with Pandan leaf as a natural sensitizer,10.13044/j.sdewes.d12.0491,http://www.sdewes.org/jsdewes/pid12.0491,html_table,check_against_original_paper
curated_candidate_needs_final_manual_check,natural_or_biobased_dye,medium,2024,Pandan leaf; anthocyanin; chlorophyll; curcumin,TiO2 + SL,iodide/triiodide (LiI/I2),FTO glass,0.214,"light intensity, temperature and humidity; solar simulator (Bunko-Keiki Co; Solar Simulator CEP-2000SRR)",0.56,0.906,0.752,0.382,0.560,0.906,0.752,0.382,Scattering layers for Titanium dioxide and Tin dioxide Dye-sensitized solar cells with Pandan leaf as a natural sensitizer,10.13044/j.sdewes.d12.0491,http://www.sdewes.org/jsdewes/pid12.0491,html_table,check_against_original_paper
curated_candidate_needs_final_manual_check,natural_or_biobased_dye,medium,2024,Pandan leaf; anthocyanin; chlorophyll; curcumin,TiO2,iodide/triiodide (LiI/I2),FTO glass,0.214,"light intensity, temperature and humidity; solar simulator (Bunko-Keiki Co; Solar Simulator CEP-2000SRR)",0.535,0.601,0.659,0.212,0.535,0.601,0.659,0.212,Scattering layers for Titanium dioxide and Tin dioxide Dye-sensitized solar cells with Pandan leaf as a natural sensitizer,10.13044/j.sdewes.d12.0491,http://www.sdewes.org/jsdewes/pid12.0491,html_table,check_against_original_paper
curated_candidate_needs_final_manual_check,natural_or_biobased_dye,low_but_green,2025,Caulerpa racemosa,TiO2; titanium dioxide; ZnO,,ITO glass,,,0.46,0.023,0.244,0.019,0.46,0.023,0.244,0.019,Natural pigment-based dye-sensitized solar cells utilizing Caulerpa racemose and Gymnogongrus flabelliformis as photosensitizers,10.61435/ijred.2025.61083,https://ijred.cbiore.id/index.php/ijred/article/view/61083,text_core_props,check_against_original_paper
curated_candidate_needs_final_manual_check,natural_or_biobased_dye,low_but_green,2025,Gymnogongrus flabelliformis,TiO2; titanium dioxide; ZnO,,ITO glass,,,0.28,0.041,0.239,0.02,0.28,0.041,0.239,0.020,Natural pigment-based dye-sensitized solar cells utilizing Caulerpa racemose and Gymnogongrus flabelliformis as photosensitizers,10.61435/ijred.2025.61083,https://ijred.cbiore.id/index.php/ijred/article/view/61083,text_core_props,check_against_original_paper
