year,dye,semiconductor,electrolyte,substrate,active_area,active_area_units,solar_simulator,voc,voc_units,jsc,jsc_units,ff,ff_units,pce_percent,material,role,paper_title,doi,journal,source_url,local_file,extraction_context,validation_status
2026,,ZnO; zinc oxide,,,,,1 sun,,,,,4.04,%,4.04,ZnO,photoanode_semiconductor,Neem-derived silver-decorated RGO/ZnO heterostructure nanocomposite: A bifunctional material for sunlight-driven photocatalysis and solar energy conversion,10.1016/j.jsamd.2026.101117,Journal of Science: Advanced Materials and Devices,https://www.sciencedirect.com/science/article/pii/S2468217926000225,database_2018_13516220/doaj_2020_2026/scraped/raw/10.1016_j.jsamd.2026.101117.html,"of the green synthesized samples has also been explored under 1 sun. It was found that Ag/RGO/ZnO DSSC delivered a high power conversion efficiency (PCE) 4.04%, that ∼45% higher than pure ZnO DSSC can be credited to the accordance of Ag and RGO, acting as electron rich, and good | f Ag and RGO enhanced charge separation and interfacial | of the green synthesized samples has also been explored under 1 sun. It was found that Ag/RGO/ZnO DSSC delivered a high power conversion efficiency (PCE) 4.04%, that ∼45% higher than pure ZnO DSSC can be credited to the accordance of Ag and RGO, acting as electron rich, and good | f Ag and RGO enhanced charge separation and interfacial elec | as electron rich, and good | f Ag and RGO enhanced charge separation and interfacial electron transport in ZnO. • The Ag/RGO/ZnO-based DSSC showed a PCE of 4.04%, ∼45% higher than pristine ZnO. Abstract In this study, neem extract was used as both a reducing and capping agent in e Neem-derived silver-decorated RGO/ZnO heterostructure nanoco | Rhodamine B. • Incorporation of Ag and RGO enhanced charge separation and interfacial electron transport in ZnO. • The Ag/RGO/ZnO-based DSSC showed a PCE of 4.04%, ∼45% higher than pristine ZnO. Abstract In this study, neem extract was used as both a reducing and capping agent in environmental production in silver/graphene/zinc oxide ternary | esolution transmission electron microscopy (HRTEM). The photocatalytic activity of the green-synthesized Ag/RGO/ZnO NC was evaluated by examining its efficiency in degrading Rhodamine B (RhB) under exposure to sunlight irradiation. The nanocomposite disclosed a significant photocatalytic degradation efficiency of RhB dye with 99.8% due to the gener",text_mined_needs_table_validation
2026,,ZnO; zinc oxide,,,,,1 sun,,,,,4.04,%,4.04,graphene,counter_electrode_or_additive,Neem-derived silver-decorated RGO/ZnO heterostructure nanocomposite: A bifunctional material for sunlight-driven photocatalysis and solar energy conversion,10.1016/j.jsamd.2026.101117,Journal of Science: Advanced Materials and Devices,https://www.sciencedirect.com/science/article/pii/S2468217926000225,database_2018_13516220/doaj_2020_2026/scraped/raw/10.1016_j.jsamd.2026.101117.html,"of the green synthesized samples has also been explored under 1 sun. It was found that Ag/RGO/ZnO DSSC delivered a high power conversion efficiency (PCE) 4.04%, that ∼45% higher than pure ZnO DSSC can be credited to the accordance of Ag and RGO, acting as electron rich, and good | f Ag and RGO enhanced charge separation and interfacial | of the green synthesized samples has also been explored under 1 sun. It was found that Ag/RGO/ZnO DSSC delivered a high power conversion efficiency (PCE) 4.04%, that ∼45% higher than pure ZnO DSSC can be credited to the accordance of Ag and RGO, acting as electron rich, and good | f Ag and RGO enhanced charge separation and interfacial elec | as electron rich, and good | f Ag and RGO enhanced charge separation and interfacial electron transport in ZnO. • The Ag/RGO/ZnO-based DSSC showed a PCE of 4.04%, ∼45% higher than pristine ZnO. Abstract In this study, neem extract was used as both a reducing and capping agent in e Neem-derived silver-decorated RGO/ZnO heterostructure nanoco | Rhodamine B. • Incorporation of Ag and RGO enhanced charge separation and interfacial electron transport in ZnO. • The Ag/RGO/ZnO-based DSSC showed a PCE of 4.04%, ∼45% higher than pristine ZnO. Abstract In this study, neem extract was used as both a reducing and capping agent in environmental production in silver/graphene/zinc oxide ternary | esolution transmission electron microscopy (HRTEM). The photocatalytic activity of the green-synthesized Ag/RGO/ZnO NC was evaluated by examining its efficiency in degrading Rhodamine B (RhB) under exposure to sunlight irradiation. The nanocomposite disclosed a significant photocatalytic degradation efficiency of RhB dye with 99.8% due to the gener",text_mined_needs_table_validation
2026,,ZnO; zinc oxide,,,,,1 sun,,,,,4.04,%,4.04,RGO,counter_electrode_or_additive,Neem-derived silver-decorated RGO/ZnO heterostructure nanocomposite: A bifunctional material for sunlight-driven photocatalysis and solar energy conversion,10.1016/j.jsamd.2026.101117,Journal of Science: Advanced Materials and Devices,https://www.sciencedirect.com/science/article/pii/S2468217926000225,database_2018_13516220/doaj_2020_2026/scraped/raw/10.1016_j.jsamd.2026.101117.html,"of the green synthesized samples has also been explored under 1 sun. It was found that Ag/RGO/ZnO DSSC delivered a high power conversion efficiency (PCE) 4.04%, that ∼45% higher than pure ZnO DSSC can be credited to the accordance of Ag and RGO, acting as electron rich, and good | f Ag and RGO enhanced charge separation and interfacial | of the green synthesized samples has also been explored under 1 sun. It was found that Ag/RGO/ZnO DSSC delivered a high power conversion efficiency (PCE) 4.04%, that ∼45% higher than pure ZnO DSSC can be credited to the accordance of Ag and RGO, acting as electron rich, and good | f Ag and RGO enhanced charge separation and interfacial elec | as electron rich, and good | f Ag and RGO enhanced charge separation and interfacial electron transport in ZnO. • The Ag/RGO/ZnO-based DSSC showed a PCE of 4.04%, ∼45% higher than pristine ZnO. Abstract In this study, neem extract was used as both a reducing and capping agent in e Neem-derived silver-decorated RGO/ZnO heterostructure nanoco | Rhodamine B. • Incorporation of Ag and RGO enhanced charge separation and interfacial electron transport in ZnO. • The Ag/RGO/ZnO-based DSSC showed a PCE of 4.04%, ∼45% higher than pristine ZnO. Abstract In this study, neem extract was used as both a reducing and capping agent in environmental production in silver/graphene/zinc oxide ternary | esolution transmission electron microscopy (HRTEM). The photocatalytic activity of the green-synthesized Ag/RGO/ZnO NC was evaluated by examining its efficiency in degrading Rhodamine B (RhB) under exposure to sunlight irradiation. The nanocomposite disclosed a significant photocatalytic degradation efficiency of RhB dye with 99.8% due to the gener",text_mined_needs_table_validation
2026,pomegranate; teak leaves; anthocyanin; anthocyanins; chlorophyll; chlorophylls; betalain; betalains,TiO2; titanium dioxide; ZnO; tin oxide,"iodide/triiodide; electrolyte achieved a Voc of 357 mV, Jsc of 0; electrolyte yielded lower efficiencies of 0; electrolytes The DSSCs sensitized with pomegranate dye achieved a power conversion efficiency (PCE) of 0",FTO; fluorine-doped tin oxide; glass,,,illumination; solar simulator under AM 1; illumination at 100 mW/cm²; illumination [ 29 ],357,mV,,,0.409,,0.0788,teak leaves,sensitizer_dye,Enhancing TiO₂-based dye-sensitized solar cell performance using Br₃⁻/I⁻ electrolyte and natural dyes from pomegranate and teak leaves,10.1007/s42452-025-07966-3,Discover Applied Sciences,https://link.springer.com/article/10.1007/s42452-025-07966-3?error=cookies_not_supported&code=ef0c1c40-0443-4e2a-b2f5-872bef8edb9a,database_2018_13516220/doaj_2020_2026/scraped/raw/10.1007_s42452-025-07966-3.html,"ensitized DSSC using the Br₃⁻/I⁻ electrolyte achieved a Voc of 357 mV, Jsc of 0.54 mA cm⁻², fill factor of 0.409, and a power conversion efficiency (PCE) of 0.0788%. The teak leaf-based cell reached a PCE of 0.0373% under the same con | ensitized DSSC using the Br₃⁻/I⁻ electrolyte achieved a Voc of 357 mV, Jsc of 0.54 mA cm⁻², fill factor of 0.409, and a power conversion efficiency (PCE) of 0.0788%. The teak leaf-based cell reached a PCE of 0.0373% under the same conditions. In con | ensitized DSSC using the Br₃⁻/I⁻ electrolyte achieved a Voc of 357 mV, Jsc of 0.54 mA cm⁻², fill factor of 0.409, and a power conversion efficiency (PCE) of 0.0788%. The teak leaf-based cell reached a PCE of 0.0373% under the same conditions. In contrast, cells wi | ensitized DSSC using the Br₃⁻/I⁻ electrolyte achieved a Voc of 357 mV, Jsc of 0.54 mA cm⁻², fill factor of 0.409, and a power conversion efficiency (PCE) of 0.0788%. The teak leaf-based cell reached a PCE of 0.0373% under the same conditions. In contrast, cells with the conventional | 4 mA cm | ensitized DSSC using the Br₃⁻/I⁻ electrolyte achieved a Voc of 357 mV, Jsc of 0.54 mA cm⁻², fill factor of 0.409, and a power conversion efficiency (PCE) of 0.0788%. The teak leaf-based cell reached a PCE of 0.0373% under the same conditions. In contrast, cells with the conventional | 4 mA cm⁻², fill factor of 0.409, and a power conver",text_mined_needs_table_validation
2026,pomegranate; teak leaves; anthocyanin; anthocyanins; chlorophyll; chlorophylls; betalain; betalains,TiO2; titanium dioxide; ZnO; tin oxide,"iodide/triiodide; electrolyte achieved a Voc of 357 mV, Jsc of 0; electrolyte yielded lower efficiencies of 0; electrolytes The DSSCs sensitized with pomegranate dye achieved a power conversion efficiency (PCE) of 0",FTO; fluorine-doped tin oxide; glass,,,illumination; solar simulator under AM 1; illumination at 100 mW/cm²; illumination [ 29 ],357,mV,,,0.409,,0.0788,pomegranate,sensitizer_dye,Enhancing TiO₂-based dye-sensitized solar cell performance using Br₃⁻/I⁻ electrolyte and natural dyes from pomegranate and teak leaves,10.1007/s42452-025-07966-3,Discover Applied Sciences,https://link.springer.com/article/10.1007/s42452-025-07966-3?error=cookies_not_supported&code=ef0c1c40-0443-4e2a-b2f5-872bef8edb9a,database_2018_13516220/doaj_2020_2026/scraped/raw/10.1007_s42452-025-07966-3.html,"ensitized DSSC using the Br₃⁻/I⁻ electrolyte achieved a Voc of 357 mV, Jsc of 0.54 mA cm⁻², fill factor of 0.409, and a power conversion efficiency (PCE) of 0.0788%. The teak leaf-based cell reached a PCE of 0.0373% under the same con | ensitized DSSC using the Br₃⁻/I⁻ electrolyte achieved a Voc of 357 mV, Jsc of 0.54 mA cm⁻², fill factor of 0.409, and a power conversion efficiency (PCE) of 0.0788%. The teak leaf-based cell reached a PCE of 0.0373% under the same conditions. In con | ensitized DSSC using the Br₃⁻/I⁻ electrolyte achieved a Voc of 357 mV, Jsc of 0.54 mA cm⁻², fill factor of 0.409, and a power conversion efficiency (PCE) of 0.0788%. The teak leaf-based cell reached a PCE of 0.0373% under the same conditions. In contrast, cells wi | ensitized DSSC using the Br₃⁻/I⁻ electrolyte achieved a Voc of 357 mV, Jsc of 0.54 mA cm⁻², fill factor of 0.409, and a power conversion efficiency (PCE) of 0.0788%. The teak leaf-based cell reached a PCE of 0.0373% under the same conditions. In contrast, cells with the conventional | 4 mA cm | ensitized DSSC using the Br₃⁻/I⁻ electrolyte achieved a Voc of 357 mV, Jsc of 0.54 mA cm⁻², fill factor of 0.409, and a power conversion efficiency (PCE) of 0.0788%. The teak leaf-based cell reached a PCE of 0.0373% under the same conditions. In contrast, cells with the conventional | 4 mA cm⁻², fill factor of 0.409, and a power conver",text_mined_needs_table_validation
2026,pomegranate; teak leaves; anthocyanin; anthocyanins; chlorophyll; chlorophylls; betalain; betalains,TiO2; titanium dioxide; ZnO; tin oxide,"iodide/triiodide; electrolyte achieved a Voc of 357 mV, Jsc of 0; electrolyte yielded lower efficiencies of 0; electrolytes The DSSCs sensitized with pomegranate dye achieved a power conversion efficiency (PCE) of 0",FTO; fluorine-doped tin oxide; glass,,,illumination; solar simulator under AM 1; illumination at 100 mW/cm²; illumination [ 29 ],357,mV,,,0.409,,0.0788,chlorophylls,sensitizer_dye,Enhancing TiO₂-based dye-sensitized solar cell performance using Br₃⁻/I⁻ electrolyte and natural dyes from pomegranate and teak leaves,10.1007/s42452-025-07966-3,Discover Applied Sciences,https://link.springer.com/article/10.1007/s42452-025-07966-3?error=cookies_not_supported&code=ef0c1c40-0443-4e2a-b2f5-872bef8edb9a,database_2018_13516220/doaj_2020_2026/scraped/raw/10.1007_s42452-025-07966-3.html,"ensitized DSSC using the Br₃⁻/I⁻ electrolyte achieved a Voc of 357 mV, Jsc of 0.54 mA cm⁻², fill factor of 0.409, and a power conversion efficiency (PCE) of 0.0788%. The teak leaf-based cell reached a PCE of 0.0373% under the same con | ensitized DSSC using the Br₃⁻/I⁻ electrolyte achieved a Voc of 357 mV, Jsc of 0.54 mA cm⁻², fill factor of 0.409, and a power conversion efficiency (PCE) of 0.0788%. The teak leaf-based cell reached a PCE of 0.0373% under the same conditions. In con | ensitized DSSC using the Br₃⁻/I⁻ electrolyte achieved a Voc of 357 mV, Jsc of 0.54 mA cm⁻², fill factor of 0.409, and a power conversion efficiency (PCE) of 0.0788%. The teak leaf-based cell reached a PCE of 0.0373% under the same conditions. In contrast, cells wi | ensitized DSSC using the Br₃⁻/I⁻ electrolyte achieved a Voc of 357 mV, Jsc of 0.54 mA cm⁻², fill factor of 0.409, and a power conversion efficiency (PCE) of 0.0788%. The teak leaf-based cell reached a PCE of 0.0373% under the same conditions. In contrast, cells with the conventional | 4 mA cm | ensitized DSSC using the Br₃⁻/I⁻ electrolyte achieved a Voc of 357 mV, Jsc of 0.54 mA cm⁻², fill factor of 0.409, and a power conversion efficiency (PCE) of 0.0788%. The teak leaf-based cell reached a PCE of 0.0373% under the same conditions. In contrast, cells with the conventional | 4 mA cm⁻², fill factor of 0.409, and a power conver",text_mined_needs_table_validation
2026,pomegranate; teak leaves; anthocyanin; anthocyanins; chlorophyll; chlorophylls; betalain; betalains,TiO2; titanium dioxide; ZnO; tin oxide,"iodide/triiodide; electrolyte achieved a Voc of 357 mV, Jsc of 0; electrolyte yielded lower efficiencies of 0; electrolytes The DSSCs sensitized with pomegranate dye achieved a power conversion efficiency (PCE) of 0",FTO; fluorine-doped tin oxide; glass,,,illumination; solar simulator under AM 1; illumination at 100 mW/cm²; illumination [ 29 ],357,mV,,,0.409,,0.0788,betalains,sensitizer_dye,Enhancing TiO₂-based dye-sensitized solar cell performance using Br₃⁻/I⁻ electrolyte and natural dyes from pomegranate and teak leaves,10.1007/s42452-025-07966-3,Discover Applied Sciences,https://link.springer.com/article/10.1007/s42452-025-07966-3?error=cookies_not_supported&code=ef0c1c40-0443-4e2a-b2f5-872bef8edb9a,database_2018_13516220/doaj_2020_2026/scraped/raw/10.1007_s42452-025-07966-3.html,"ensitized DSSC using the Br₃⁻/I⁻ electrolyte achieved a Voc of 357 mV, Jsc of 0.54 mA cm⁻², fill factor of 0.409, and a power conversion efficiency (PCE) of 0.0788%. The teak leaf-based cell reached a PCE of 0.0373% under the same con | ensitized DSSC using the Br₃⁻/I⁻ electrolyte achieved a Voc of 357 mV, Jsc of 0.54 mA cm⁻², fill factor of 0.409, and a power conversion efficiency (PCE) of 0.0788%. The teak leaf-based cell reached a PCE of 0.0373% under the same conditions. In con | ensitized DSSC using the Br₃⁻/I⁻ electrolyte achieved a Voc of 357 mV, Jsc of 0.54 mA cm⁻², fill factor of 0.409, and a power conversion efficiency (PCE) of 0.0788%. The teak leaf-based cell reached a PCE of 0.0373% under the same conditions. In contrast, cells wi | ensitized DSSC using the Br₃⁻/I⁻ electrolyte achieved a Voc of 357 mV, Jsc of 0.54 mA cm⁻², fill factor of 0.409, and a power conversion efficiency (PCE) of 0.0788%. The teak leaf-based cell reached a PCE of 0.0373% under the same conditions. In contrast, cells with the conventional | 4 mA cm | ensitized DSSC using the Br₃⁻/I⁻ electrolyte achieved a Voc of 357 mV, Jsc of 0.54 mA cm⁻², fill factor of 0.409, and a power conversion efficiency (PCE) of 0.0788%. The teak leaf-based cell reached a PCE of 0.0373% under the same conditions. In contrast, cells with the conventional | 4 mA cm⁻², fill factor of 0.409, and a power conver",text_mined_needs_table_validation
2026,pomegranate; teak leaves; anthocyanin; anthocyanins; chlorophyll; chlorophylls; betalain; betalains,TiO2; titanium dioxide; ZnO; tin oxide,"iodide/triiodide; electrolyte achieved a Voc of 357 mV, Jsc of 0; electrolyte yielded lower efficiencies of 0; electrolytes The DSSCs sensitized with pomegranate dye achieved a power conversion efficiency (PCE) of 0",FTO; fluorine-doped tin oxide; glass,,,illumination; solar simulator under AM 1; illumination at 100 mW/cm²; illumination [ 29 ],357,mV,,,0.409,,0.0788,betalain,sensitizer_dye,Enhancing TiO₂-based dye-sensitized solar cell performance using Br₃⁻/I⁻ electrolyte and natural dyes from pomegranate and teak leaves,10.1007/s42452-025-07966-3,Discover Applied Sciences,https://link.springer.com/article/10.1007/s42452-025-07966-3?error=cookies_not_supported&code=ef0c1c40-0443-4e2a-b2f5-872bef8edb9a,database_2018_13516220/doaj_2020_2026/scraped/raw/10.1007_s42452-025-07966-3.html,"ensitized DSSC using the Br₃⁻/I⁻ electrolyte achieved a Voc of 357 mV, Jsc of 0.54 mA cm⁻², fill factor of 0.409, and a power conversion efficiency (PCE) of 0.0788%. The teak leaf-based cell reached a PCE of 0.0373% under the same con | ensitized DSSC using the Br₃⁻/I⁻ electrolyte achieved a Voc of 357 mV, Jsc of 0.54 mA cm⁻², fill factor of 0.409, and a power conversion efficiency (PCE) of 0.0788%. The teak leaf-based cell reached a PCE of 0.0373% under the same conditions. In con | ensitized DSSC using the Br₃⁻/I⁻ electrolyte achieved a Voc of 357 mV, Jsc of 0.54 mA cm⁻², fill factor of 0.409, and a power conversion efficiency (PCE) of 0.0788%. The teak leaf-based cell reached a PCE of 0.0373% under the same conditions. In contrast, cells wi | ensitized DSSC using the Br₃⁻/I⁻ electrolyte achieved a Voc of 357 mV, Jsc of 0.54 mA cm⁻², fill factor of 0.409, and a power conversion efficiency (PCE) of 0.0788%. The teak leaf-based cell reached a PCE of 0.0373% under the same conditions. In contrast, cells with the conventional | 4 mA cm | ensitized DSSC using the Br₃⁻/I⁻ electrolyte achieved a Voc of 357 mV, Jsc of 0.54 mA cm⁻², fill factor of 0.409, and a power conversion efficiency (PCE) of 0.0788%. The teak leaf-based cell reached a PCE of 0.0373% under the same conditions. In contrast, cells with the conventional | 4 mA cm⁻², fill factor of 0.409, and a power conver",text_mined_needs_table_validation
2026,pomegranate; teak leaves; anthocyanin; anthocyanins; chlorophyll; chlorophylls; betalain; betalains,TiO2; titanium dioxide; ZnO; tin oxide,"iodide/triiodide; electrolyte achieved a Voc of 357 mV, Jsc of 0; electrolyte yielded lower efficiencies of 0; electrolytes The DSSCs sensitized with pomegranate dye achieved a power conversion efficiency (PCE) of 0",FTO; fluorine-doped tin oxide; glass,,,illumination; solar simulator under AM 1; illumination at 100 mW/cm²; illumination [ 29 ],357,mV,,,0.409,,0.0788,anthocyanins,sensitizer_dye,Enhancing TiO₂-based dye-sensitized solar cell performance using Br₃⁻/I⁻ electrolyte and natural dyes from pomegranate and teak leaves,10.1007/s42452-025-07966-3,Discover Applied Sciences,https://link.springer.com/article/10.1007/s42452-025-07966-3?error=cookies_not_supported&code=ef0c1c40-0443-4e2a-b2f5-872bef8edb9a,database_2018_13516220/doaj_2020_2026/scraped/raw/10.1007_s42452-025-07966-3.html,"ensitized DSSC using the Br₃⁻/I⁻ electrolyte achieved a Voc of 357 mV, Jsc of 0.54 mA cm⁻², fill factor of 0.409, and a power conversion efficiency (PCE) of 0.0788%. The teak leaf-based cell reached a PCE of 0.0373% under the same con | ensitized DSSC using the Br₃⁻/I⁻ electrolyte achieved a Voc of 357 mV, Jsc of 0.54 mA cm⁻², fill factor of 0.409, and a power conversion efficiency (PCE) of 0.0788%. The teak leaf-based cell reached a PCE of 0.0373% under the same conditions. In con | ensitized DSSC using the Br₃⁻/I⁻ electrolyte achieved a Voc of 357 mV, Jsc of 0.54 mA cm⁻², fill factor of 0.409, and a power conversion efficiency (PCE) of 0.0788%. The teak leaf-based cell reached a PCE of 0.0373% under the same conditions. In contrast, cells wi | ensitized DSSC using the Br₃⁻/I⁻ electrolyte achieved a Voc of 357 mV, Jsc of 0.54 mA cm⁻², fill factor of 0.409, and a power conversion efficiency (PCE) of 0.0788%. The teak leaf-based cell reached a PCE of 0.0373% under the same conditions. In contrast, cells with the conventional | 4 mA cm | ensitized DSSC using the Br₃⁻/I⁻ electrolyte achieved a Voc of 357 mV, Jsc of 0.54 mA cm⁻², fill factor of 0.409, and a power conversion efficiency (PCE) of 0.0788%. The teak leaf-based cell reached a PCE of 0.0373% under the same conditions. In contrast, cells with the conventional | 4 mA cm⁻², fill factor of 0.409, and a power conver",text_mined_needs_table_validation
2026,Chlorophyll; pomegranate; teak leaves; anthocyanin; anthocyanins; chlorophylls; betalain; betalains,TiO2; titanium dioxide; ZnO; tin oxide,"iodide/triiodide; electrolyte achieved a Voc of 357 mV, Jsc of 0; electrolyte yielded lower efficiencies of 0; electrolytes The DSSCs sensitized with pomegranate dye achieved a power conversion efficiency (PCE) of 0",FTO; fluorine-doped tin oxide; glass,,,illumination; solar simulator under AM 1; illumination at 100 mW/cm²; illumination [ 29 ],357,mV,,,0.409,,0.0788,Chlorophyll,sensitizer_dye,Enhancing TiO₂-based dye-sensitized solar cell performance using Br₃⁻/I⁻ electrolyte and natural dyes from pomegranate and teak leaves,10.1007/s42452-025-07966-3,Discover Applied Sciences,https://link.springer.com/article/10.1007/s42452-025-07966-3?error=cookies_not_supported&code=ef0c1c40-0443-4e2a-b2f5-872bef8edb9a,database_2018_13516220/doaj_2020_2026/scraped/raw/10.1007_s42452-025-07966-3.html,"ensitized DSSC using the Br₃⁻/I⁻ electrolyte achieved a Voc of 357 mV, Jsc of 0.54 mA cm⁻², fill factor of 0.409, and a power conversion efficiency (PCE) of 0.0788%. The teak leaf-based cell reached a PCE of 0.0373% under the same con | ensitized DSSC using the Br₃⁻/I⁻ electrolyte achieved a Voc of 357 mV, Jsc of 0.54 mA cm⁻², fill factor of 0.409, and a power conversion efficiency (PCE) of 0.0788%. The teak leaf-based cell reached a PCE of 0.0373% under the same conditions. In con | ensitized DSSC using the Br₃⁻/I⁻ electrolyte achieved a Voc of 357 mV, Jsc of 0.54 mA cm⁻², fill factor of 0.409, and a power conversion efficiency (PCE) of 0.0788%. The teak leaf-based cell reached a PCE of 0.0373% under the same conditions. In contrast, cells wi | ensitized DSSC using the Br₃⁻/I⁻ electrolyte achieved a Voc of 357 mV, Jsc of 0.54 mA cm⁻², fill factor of 0.409, and a power conversion efficiency (PCE) of 0.0788%. The teak leaf-based cell reached a PCE of 0.0373% under the same conditions. In contrast, cells with the conventional | 4 mA cm | ensitized DSSC using the Br₃⁻/I⁻ electrolyte achieved a Voc of 357 mV, Jsc of 0.54 mA cm⁻², fill factor of 0.409, and a power conversion efficiency (PCE) of 0.0788%. The teak leaf-based cell reached a PCE of 0.0373% under the same conditions. In contrast, cells with the conventional | 4 mA cm⁻², fill factor of 0.409, and a power conver",text_mined_needs_table_validation
