year,material,role,max_pce_percent_text_mined,paper_title,doi,journal,source_url,local_file,performance_snippets,green_basis
2026,ZnO,photoanode_semiconductor,4.04,Neem-derived silver-decorated RGO/ZnO heterostructure nanocomposite: A bifunctional material for sunlight-driven photocatalysis and solar energy conversion,10.1016/j.jsamd.2026.101117,Journal of Science: Advanced Materials and Devices,https://www.sciencedirect.com/science/article/pii/S2468217926000225,database_2018_13516220/doaj_2020_2026/scraped/raw/10.1016_j.jsamd.2026.101117.html,"of the green synthesized samples has also been explored under 1 sun. It was found that Ag/RGO/ZnO DSSC delivered a high power conversion efficiency (PCE) 4.04%, that ∼45% higher than pure ZnO DSSC can be credited to the accordance of Ag and RGO, acting as electron rich, and good | f Ag and RGO enhanced charge separation and interfacial electron transport in ZnO. • The Ag/RGO/ZnO-based DSSC showed a PCE of 4.04%, ∼45% higher than pristine ZnO. Abstract In this study, neem extract was used as both a reducing and capping agent in e",matches green/natural/bio/metal-free/Pt-free screening terms
2026,graphene,counter_electrode_or_additive,4.04,Neem-derived silver-decorated RGO/ZnO heterostructure nanocomposite: A bifunctional material for sunlight-driven photocatalysis and solar energy conversion,10.1016/j.jsamd.2026.101117,Journal of Science: Advanced Materials and Devices,https://www.sciencedirect.com/science/article/pii/S2468217926000225,database_2018_13516220/doaj_2020_2026/scraped/raw/10.1016_j.jsamd.2026.101117.html,"of the green synthesized samples has also been explored under 1 sun. It was found that Ag/RGO/ZnO DSSC delivered a high power conversion efficiency (PCE) 4.04%, that ∼45% higher than pure ZnO DSSC can be credited to the accordance of Ag and RGO, acting as electron rich, and good | f Ag and RGO enhanced charge separation and interfacial electron transport in ZnO. • The Ag/RGO/ZnO-based DSSC showed a PCE of 4.04%, ∼45% higher than pristine ZnO. Abstract In this study, neem extract was used as both a reducing and capping agent in e",matches green/natural/bio/metal-free/Pt-free screening terms
2026,RGO,counter_electrode_or_additive,4.04,Neem-derived silver-decorated RGO/ZnO heterostructure nanocomposite: A bifunctional material for sunlight-driven photocatalysis and solar energy conversion,10.1016/j.jsamd.2026.101117,Journal of Science: Advanced Materials and Devices,https://www.sciencedirect.com/science/article/pii/S2468217926000225,database_2018_13516220/doaj_2020_2026/scraped/raw/10.1016_j.jsamd.2026.101117.html,"of the green synthesized samples has also been explored under 1 sun. It was found that Ag/RGO/ZnO DSSC delivered a high power conversion efficiency (PCE) 4.04%, that ∼45% higher than pure ZnO DSSC can be credited to the accordance of Ag and RGO, acting as electron rich, and good | f Ag and RGO enhanced charge separation and interfacial electron transport in ZnO. • The Ag/RGO/ZnO-based DSSC showed a PCE of 4.04%, ∼45% higher than pristine ZnO. Abstract In this study, neem extract was used as both a reducing and capping agent in e",matches green/natural/bio/metal-free/Pt-free screening terms
2026,teak leaves,sensitizer_dye,0.0788,Enhancing TiO₂-based dye-sensitized solar cell performance using Br₃⁻/I⁻ electrolyte and natural dyes from pomegranate and teak leaves,10.1007/s42452-025-07966-3,Discover Applied Sciences,https://link.springer.com/article/10.1007/s42452-025-07966-3?error=cookies_not_supported&code=ef0c1c40-0443-4e2a-b2f5-872bef8edb9a,database_2018_13516220/doaj_2020_2026/scraped/raw/10.1007_s42452-025-07966-3.html,"ensitized DSSC using the Br₃⁻/I⁻ electrolyte achieved a Voc of 357 mV, Jsc of 0.54 mA cm⁻², fill factor of 0.409, and a power conversion efficiency (PCE) of 0.0788%. The teak leaf-based cell reached a PCE of 0.0373% under the same conditions. In contrast, cells with the conventional | 4 mA cm⁻², fill factor of 0.409, and a power conversion efficiency (PCE) of 0.0788%. The teak leaf-based cell reached a PCE of 0.0373% under the same conditions. In contrast, cells with the conventional I₃⁻/I⁻ electrolyte yielded lower efficiencies of 0. | ate and teak leaf dyes using Br₃⁻/I⁻ and I₃⁻/I⁻ redox electrolytes The DSSCs sensitized with pomegranate dye achieved a power conversion efficiency (PCE) of 0.0788% using the Br₃⁻/I⁻ electrolyte, compared to 0.0255% with the conventional I₃⁻/I⁻ system. Similarly, the teak leaf dye se | yte, compared to 0.0255% with the conventional I₃⁻/I⁻ system. Similarly, the teak leaf dye sensitized cell exhibited an efficiency of 0.0373% with Br₃⁻/I⁻, which decreased to 0.0108% with I₃⁻/I⁻. These results correspond to relative efficiency enhancements of 2",matches green/natural/bio/metal-free/Pt-free screening terms
2026,pomegranate,sensitizer_dye,0.0788,Enhancing TiO₂-based dye-sensitized solar cell performance using Br₃⁻/I⁻ electrolyte and natural dyes from pomegranate and teak leaves,10.1007/s42452-025-07966-3,Discover Applied Sciences,https://link.springer.com/article/10.1007/s42452-025-07966-3?error=cookies_not_supported&code=ef0c1c40-0443-4e2a-b2f5-872bef8edb9a,database_2018_13516220/doaj_2020_2026/scraped/raw/10.1007_s42452-025-07966-3.html,"ensitized DSSC using the Br₃⁻/I⁻ electrolyte achieved a Voc of 357 mV, Jsc of 0.54 mA cm⁻², fill factor of 0.409, and a power conversion efficiency (PCE) of 0.0788%. The teak leaf-based cell reached a PCE of 0.0373% under the same conditions. In contrast, cells with the conventional | 4 mA cm⁻², fill factor of 0.409, and a power conversion efficiency (PCE) of 0.0788%. The teak leaf-based cell reached a PCE of 0.0373% under the same conditions. In contrast, cells with the conventional I₃⁻/I⁻ electrolyte yielded lower efficiencies of 0. | ate and teak leaf dyes using Br₃⁻/I⁻ and I₃⁻/I⁻ redox electrolytes The DSSCs sensitized with pomegranate dye achieved a power conversion efficiency (PCE) of 0.0788% using the Br₃⁻/I⁻ electrolyte, compared to 0.0255% with the conventional I₃⁻/I⁻ system. Similarly, the teak leaf dye se | yte, compared to 0.0255% with the conventional I₃⁻/I⁻ system. Similarly, the teak leaf dye sensitized cell exhibited an efficiency of 0.0373% with Br₃⁻/I⁻, which decreased to 0.0108% with I₃⁻/I⁻. These results correspond to relative efficiency enhancements of 2",matches green/natural/bio/metal-free/Pt-free screening terms
2026,chlorophylls,sensitizer_dye,0.0788,Enhancing TiO₂-based dye-sensitized solar cell performance using Br₃⁻/I⁻ electrolyte and natural dyes from pomegranate and teak leaves,10.1007/s42452-025-07966-3,Discover Applied Sciences,https://link.springer.com/article/10.1007/s42452-025-07966-3?error=cookies_not_supported&code=ef0c1c40-0443-4e2a-b2f5-872bef8edb9a,database_2018_13516220/doaj_2020_2026/scraped/raw/10.1007_s42452-025-07966-3.html,"ensitized DSSC using the Br₃⁻/I⁻ electrolyte achieved a Voc of 357 mV, Jsc of 0.54 mA cm⁻², fill factor of 0.409, and a power conversion efficiency (PCE) of 0.0788%. The teak leaf-based cell reached a PCE of 0.0373% under the same conditions. In contrast, cells with the conventional | 4 mA cm⁻², fill factor of 0.409, and a power conversion efficiency (PCE) of 0.0788%. The teak leaf-based cell reached a PCE of 0.0373% under the same conditions. In contrast, cells with the conventional I₃⁻/I⁻ electrolyte yielded lower efficiencies of 0. | ate and teak leaf dyes using Br₃⁻/I⁻ and I₃⁻/I⁻ redox electrolytes The DSSCs sensitized with pomegranate dye achieved a power conversion efficiency (PCE) of 0.0788% using the Br₃⁻/I⁻ electrolyte, compared to 0.0255% with the conventional I₃⁻/I⁻ system. Similarly, the teak leaf dye se | yte, compared to 0.0255% with the conventional I₃⁻/I⁻ system. Similarly, the teak leaf dye sensitized cell exhibited an efficiency of 0.0373% with Br₃⁻/I⁻, which decreased to 0.0108% with I₃⁻/I⁻. These results correspond to relative efficiency enhancements of 2",matches green/natural/bio/metal-free/Pt-free screening terms
2026,betalains,sensitizer_dye,0.0788,Enhancing TiO₂-based dye-sensitized solar cell performance using Br₃⁻/I⁻ electrolyte and natural dyes from pomegranate and teak leaves,10.1007/s42452-025-07966-3,Discover Applied Sciences,https://link.springer.com/article/10.1007/s42452-025-07966-3?error=cookies_not_supported&code=ef0c1c40-0443-4e2a-b2f5-872bef8edb9a,database_2018_13516220/doaj_2020_2026/scraped/raw/10.1007_s42452-025-07966-3.html,"ensitized DSSC using the Br₃⁻/I⁻ electrolyte achieved a Voc of 357 mV, Jsc of 0.54 mA cm⁻², fill factor of 0.409, and a power conversion efficiency (PCE) of 0.0788%. The teak leaf-based cell reached a PCE of 0.0373% under the same conditions. In contrast, cells with the conventional | 4 mA cm⁻², fill factor of 0.409, and a power conversion efficiency (PCE) of 0.0788%. The teak leaf-based cell reached a PCE of 0.0373% under the same conditions. In contrast, cells with the conventional I₃⁻/I⁻ electrolyte yielded lower efficiencies of 0. | ate and teak leaf dyes using Br₃⁻/I⁻ and I₃⁻/I⁻ redox electrolytes The DSSCs sensitized with pomegranate dye achieved a power conversion efficiency (PCE) of 0.0788% using the Br₃⁻/I⁻ electrolyte, compared to 0.0255% with the conventional I₃⁻/I⁻ system. Similarly, the teak leaf dye se | yte, compared to 0.0255% with the conventional I₃⁻/I⁻ system. Similarly, the teak leaf dye sensitized cell exhibited an efficiency of 0.0373% with Br₃⁻/I⁻, which decreased to 0.0108% with I₃⁻/I⁻. These results correspond to relative efficiency enhancements of 2",matches green/natural/bio/metal-free/Pt-free screening terms
2026,betalain,sensitizer_dye,0.0788,Enhancing TiO₂-based dye-sensitized solar cell performance using Br₃⁻/I⁻ electrolyte and natural dyes from pomegranate and teak leaves,10.1007/s42452-025-07966-3,Discover Applied Sciences,https://link.springer.com/article/10.1007/s42452-025-07966-3?error=cookies_not_supported&code=ef0c1c40-0443-4e2a-b2f5-872bef8edb9a,database_2018_13516220/doaj_2020_2026/scraped/raw/10.1007_s42452-025-07966-3.html,"ensitized DSSC using the Br₃⁻/I⁻ electrolyte achieved a Voc of 357 mV, Jsc of 0.54 mA cm⁻², fill factor of 0.409, and a power conversion efficiency (PCE) of 0.0788%. The teak leaf-based cell reached a PCE of 0.0373% under the same conditions. In contrast, cells with the conventional | 4 mA cm⁻², fill factor of 0.409, and a power conversion efficiency (PCE) of 0.0788%. The teak leaf-based cell reached a PCE of 0.0373% under the same conditions. In contrast, cells with the conventional I₃⁻/I⁻ electrolyte yielded lower efficiencies of 0. | ate and teak leaf dyes using Br₃⁻/I⁻ and I₃⁻/I⁻ redox electrolytes The DSSCs sensitized with pomegranate dye achieved a power conversion efficiency (PCE) of 0.0788% using the Br₃⁻/I⁻ electrolyte, compared to 0.0255% with the conventional I₃⁻/I⁻ system. Similarly, the teak leaf dye se | yte, compared to 0.0255% with the conventional I₃⁻/I⁻ system. Similarly, the teak leaf dye sensitized cell exhibited an efficiency of 0.0373% with Br₃⁻/I⁻, which decreased to 0.0108% with I₃⁻/I⁻. These results correspond to relative efficiency enhancements of 2",matches green/natural/bio/metal-free/Pt-free screening terms
2026,anthocyanins,sensitizer_dye,0.0788,Enhancing TiO₂-based dye-sensitized solar cell performance using Br₃⁻/I⁻ electrolyte and natural dyes from pomegranate and teak leaves,10.1007/s42452-025-07966-3,Discover Applied Sciences,https://link.springer.com/article/10.1007/s42452-025-07966-3?error=cookies_not_supported&code=ef0c1c40-0443-4e2a-b2f5-872bef8edb9a,database_2018_13516220/doaj_2020_2026/scraped/raw/10.1007_s42452-025-07966-3.html,"ensitized DSSC using the Br₃⁻/I⁻ electrolyte achieved a Voc of 357 mV, Jsc of 0.54 mA cm⁻², fill factor of 0.409, and a power conversion efficiency (PCE) of 0.0788%. The teak leaf-based cell reached a PCE of 0.0373% under the same conditions. In contrast, cells with the conventional | 4 mA cm⁻², fill factor of 0.409, and a power conversion efficiency (PCE) of 0.0788%. The teak leaf-based cell reached a PCE of 0.0373% under the same conditions. In contrast, cells with the conventional I₃⁻/I⁻ electrolyte yielded lower efficiencies of 0. | ate and teak leaf dyes using Br₃⁻/I⁻ and I₃⁻/I⁻ redox electrolytes The DSSCs sensitized with pomegranate dye achieved a power conversion efficiency (PCE) of 0.0788% using the Br₃⁻/I⁻ electrolyte, compared to 0.0255% with the conventional I₃⁻/I⁻ system. Similarly, the teak leaf dye se | yte, compared to 0.0255% with the conventional I₃⁻/I⁻ system. Similarly, the teak leaf dye sensitized cell exhibited an efficiency of 0.0373% with Br₃⁻/I⁻, which decreased to 0.0108% with I₃⁻/I⁻. These results correspond to relative efficiency enhancements of 2",matches green/natural/bio/metal-free/Pt-free screening terms
2026,Chlorophyll,sensitizer_dye,0.0788,Enhancing TiO₂-based dye-sensitized solar cell performance using Br₃⁻/I⁻ electrolyte and natural dyes from pomegranate and teak leaves,10.1007/s42452-025-07966-3,Discover Applied Sciences,https://link.springer.com/article/10.1007/s42452-025-07966-3?error=cookies_not_supported&code=ef0c1c40-0443-4e2a-b2f5-872bef8edb9a,database_2018_13516220/doaj_2020_2026/scraped/raw/10.1007_s42452-025-07966-3.html,"ensitized DSSC using the Br₃⁻/I⁻ electrolyte achieved a Voc of 357 mV, Jsc of 0.54 mA cm⁻², fill factor of 0.409, and a power conversion efficiency (PCE) of 0.0788%. The teak leaf-based cell reached a PCE of 0.0373% under the same conditions. In contrast, cells with the conventional | 4 mA cm⁻², fill factor of 0.409, and a power conversion efficiency (PCE) of 0.0788%. The teak leaf-based cell reached a PCE of 0.0373% under the same conditions. In contrast, cells with the conventional I₃⁻/I⁻ electrolyte yielded lower efficiencies of 0. | ate and teak leaf dyes using Br₃⁻/I⁻ and I₃⁻/I⁻ redox electrolytes The DSSCs sensitized with pomegranate dye achieved a power conversion efficiency (PCE) of 0.0788% using the Br₃⁻/I⁻ electrolyte, compared to 0.0255% with the conventional I₃⁻/I⁻ system. Similarly, the teak leaf dye se | yte, compared to 0.0255% with the conventional I₃⁻/I⁻ system. Similarly, the teak leaf dye sensitized cell exhibited an efficiency of 0.0373% with Br₃⁻/I⁻, which decreased to 0.0108% with I₃⁻/I⁻. These results correspond to relative efficiency enhancements of 2",matches green/natural/bio/metal-free/Pt-free screening terms
