local_file,doi,title,tables,pv_tables,records,status
database_2018_13516220/doaj_2020_2026/scraped/raw/10.1007_s40243-025-00296-9.pdf,10.1007/s40243-025-00296-9,Study on dye-sensitized solar cell efficiency improvement using methyl orange dye,0,0,0,ok
database_2018_13516220/doaj_2020_2026/scraped/raw/10.1007_s40243-025-00320-y.pdf,10.1007/s40243-025-00320-y,Jasmine flowers extract mediated green synthesis of tio₂ nanoparticles and their photocurrent characteristics for dye-sensitized solar cell application,0,0,0,ok
database_2018_13516220/doaj_2020_2026/scraped/raw/10.1007_s40243-025-00333-7.pdf,10.1007/s40243-025-00333-7,Fabrication of titanium dioxide nanoparticle-doped polymer electrolytes for dye-sensitized solar cell modules: self-powered internet of things applications,0,0,0,ok
database_2018_13516220/doaj_2020_2026/scraped/raw/10.1007_s42452-024-06256-8.pdf,10.1007/s42452-024-06256-8,A narrative review on vital criteria of fungal dyes as dye-sensitized solar cell (DSSC),0,0,0,ok
database_2018_13516220/doaj_2020_2026/scraped/raw/10.1007_s42452-025-07966-3.pdf,10.1007/s42452-025-07966-3,Enhancing TiO₂-based dye-sensitized solar cell performance using Br₃⁻/I⁻ electrolyte and natural dyes from pomegranate and teak leaves,0,0,0,ok
database_2018_13516220/doaj_2020_2026/scraped/raw/10.1007_s43937-026-00138-3.pdf,10.1007/s43937-026-00138-3,Dye sensitized solar cell as eco friendly and low cost renewable energy solutions a mini review,0,0,0,ok
database_2018_13516220/doaj_2020_2026/scraped/raw/10.1007_s44371-026-00589-6.pdf,10.1007/s44371-026-00589-6,Critical review of metalloporphyrin drawbacks and additive adverse effects in porphyrin DSSCs toward high efficiency metal free porphyrin sensitizers,0,0,0,ok
database_2018_13516220/doaj_2020_2026/scraped/raw/10.1038_s41598-024-75959-0.pdf,10.1038/s41598-024-75959-0,Tandem dye-sensitized solar cells achieve 12.89% efficiency using novel organic sensitizers,4,1,4,ok
database_2018_13516220/doaj_2020_2026/scraped/raw/10.1038_s41598-025-94974-3.pdf,10.1038/s41598-025-94974-3,Green synthesis of hematite nano flakes and their application as a counter electrode in dye-sensitized solar cells,0,0,0,ok
database_2018_13516220/doaj_2020_2026/scraped/raw/10.1051_e3sconf_202448101005.pdf,10.1051/e3sconf/202448101005,Fabrication of TiO2-Ag composites for working electrode of dye-sensitized solar cells,2,1,12,ok
database_2018_13516220/doaj_2020_2026/scraped/raw/10.1051_e3sconf_202669804001.pdf,10.1051/e3sconf/202669804001,Theoretical study of the effect of auxiliary acceptors insertion on phenothiazine-based dye DSSC photoelectrical properties,3,0,0,ok
database_2018_13516220/doaj_2020_2026/scraped/raw/10.1051_epjconf_202635601016.pdf,10.1051/epjconf/202635601016,Photon Upconversion Strategies for Enhancing Efficiency in Photovoltaic Devices: Mechanisms and Materials Review,0,0,0,ok
database_2018_13516220/doaj_2020_2026/scraped/raw/10.13044_j.sdewes.d12.0491.pdf,10.13044/j.sdewes.d12.0491,Scattering layers for Titanium dioxide and Tin dioxide Dye-sensitized solar cells with Pandan leaf as a natural sensitizer,10,0,0,ok
database_2018_13516220/doaj_2020_2026/scraped/raw/10.13057_ijap.v13i2.66716.pdf,10.13057/ijap.v13i2.66716,The Impact of Solvent Composition and Copper (Cu) Ion Doping on Dye Anthocyanin on Increasing Dye-Sensitized Solar Cell (DSSC) Efficiency,2,0,0,ok
database_2018_13516220/doaj_2020_2026/scraped/raw/10.1590_pttr6175.pdf,10.1590/pttr6175,TiO2/Pt-Free DSSC produced with Nb2O5 and Polyaniline: a preliminary study,1,0,0,ok
