doi,title,tables,pv_tables,records,status
10.1051/e3sconf/202669804001,Theoretical study of the effect of auxiliary acceptors insertion on phenothiazine-based dye DSSC photoelectrical properties,0,0,0,no_html
10.1051/epjconf/202635601016,Photon Upconversion Strategies for Enhancing Efficiency in Photovoltaic Devices: Mechanisms and Materials Review,0,0,0,no_html
10.1016/j.jsamd.2026.101117,Neem-derived silver-decorated RGO/ZnO heterostructure nanocomposite: A bifunctional material for sunlight-driven photocatalysis and solar energy conversion,0,0,0,ok
10.1007/s42452-025-07966-3,Enhancing TiO₂-based dye-sensitized solar cell performance using Br₃⁻/I⁻ electrolyte and natural dyes from pomegranate and teak leaves,0,0,0,ok
10.1016/j.nxmate.2026.101823,Emerging DSSC designs: Comparative insights into purified and crude natural dyes as sensitisers,0,0,0,ok
10.1007/s43937-026-00138-3,Dye sensitized solar cell as eco friendly and low cost renewable energy solutions a mini review,0,0,0,no_html
10.1007/s44371-026-00589-6,Critical review of metalloporphyrin drawbacks and additive adverse effects in porphyrin DSSCs toward high efficiency metal free porphyrin sensitizers,0,0,0,no_html
10.1088/2053-1591/ae2f27,Biosynthesized nickel oxide honeycomb nanostructures for DSSC counter electrode: a joint experimental and density functional theory study,0,0,0,ok
10.1016/j.rineng.2025.108918,Biomass-derived rGO-like carbon from oil palm petioles integrated with NiO/PEDOT:PSS composites for counter electrodes in dye-sensitized solar cells,0,0,0,ok
10.1016/j.solcom.2026.100161,"Next-generation sensitizers for dye sensitizer solar cells: Molecular engineering, performance metrics, and photostability",0,0,0,no_html
10.3390/colorants5010008,Enhancing Power Conversion Efficiency of Natural Dye-Sensitized Solar Cells Through Pigment Interaction Analysis of Delonix regia Extracts,0,0,0,no_html
10.1590/pttr6175,TiO2/Pt-Free DSSC produced with Nb2O5 and Polyaniline: a preliminary study,0,0,0,no_html
10.1016/j.nxmate.2025.100875,Tagetes erecta (marigold) flower extract in the different solvents used as a capping agent and sensitizer for TiO2 photoanode based DSSC,0,0,0,ok
10.53293/jasn.2025.7620.1343,Synergistic Effect of Acacia (Cassia siamea) Leaves Extract in Green Synthesis of Ag/TiO2 Nanostructures for Dye-Sensitized Solar Cells,0,0,0,no_html
