dye_raw,eco_class,record_count,avg_pce_percent,max_pce_percent,avg_jsc,avg_voc,avg_ff,example_name,example_smiles,common_semiconductors,common_redox_couples,common_substrates,sources,screening_reasons,example_dois,example_titles
TT40,metal_free_candidate_uncertain,4,1009.3775,2014.0,13.1,1321.25,1006.85,,,TiO2,I−/I3−,,rsc,no_heavy_metal_keyword_detected,10.1039/C4TA01894J,Advances in phthalocyanine-sensitized solar cells (PcSSCs) 
TT22,metal_free_candidate_uncertain,2,1007.565,2012.0,7.01,1311.0,1006.365,,,TiO2,I−/I3−,,rsc,no_heavy_metal_keyword_detected,10.1039/C4TA01894J,Advances in phthalocyanine-sensitized solar cells (PcSSCs) 
TT23,metal_free_candidate_uncertain,2,1006.7,2012.0,3.7,1266.0,1006.365,,,TiO2,I−/I3−,,rsc,no_heavy_metal_keyword_detected,10.1039/C4TA01894J,Advances in phthalocyanine-sensitized solar cells (PcSSCs) 
TT43,metal_free_candidate_uncertain,2,1007.815,2012.0,8.77,1298.0,1006.355,,,TiO2,I−/I3−,,rsc,no_heavy_metal_keyword_detected,10.1039/C4TA01894J,Advances in phthalocyanine-sensitized solar cells (PcSSCs) 
LEG4,metal_free_organic_candidate,132,14.325,890.0,8.7585,612.4444,24.2944,"3-{6-{4-[bis(2',4'-dibutyloxybiphenyl-4-yl)amino-]phenyl}-4,4-dihexyl-cyclopenta-[2,1-b:3,4-b']dithiophene-2-yl}-2-cyanoacrylic acid",CCCCOc1ccc(c(OCCCC)c1)c2ccc(cc2)N(c3ccc(cc3)c4sc(cc4)c5sc(cc5)\C=C(C#N)\C(O)=O)c6ccc(cc6)c7ccc(OCCCC)cc7OCCCC,SnO2; TiO2,I−/I3−; iodide/triiodide,FTO; glass,elsevier; rsc,metal_free_smiles_screen; organic_keyword:cyanoacrylic|thiophene,10.1016/j.electacta.2013.06.005; 10.1016/j.electacta.2014.07.125; 10.1016/j.electacta.2016.05.083; 10.1016/j.jphotochem.2016.05.015; 10.1016/j.nanoen.2015.09.010,"Bis(1,1-bis(2-pyridyl)ethane)copper( i / ii ) as an efficient redox couple for liquid dye-sensitized solar cells   | Combination of Asymmetric Supercapacitor Utilizing Activated Carbon and Nickel Oxide with Cobalt Polypyridyl-Based Dye-Sensitized Solar Cell | Direct light-induced polymerization of cobalt-based redox shuttles: an ultrafast way towards stable dye-sensitized solar cells  "
ZnPcOC4,metal_free_candidate_uncertain,2,360.605,720.0,4.0,720.0,0.42,,,,,,rsc,no_heavy_metal_keyword_detected,10.1039/C8TC03542C,The researcher's guide to solid-state dye-sensitized solar cells 
D131,metal_free_organic_candidate,150,5.1604,150.0,8.9409,6.8745,5.9007,"2-Cyano-3-[4-[4-(2,2-diphenylethenyl)phenyl]-1,2,3,3a,4,8b-hexahydrocyclopent[b]indol-7-yl]-2-propenoic acid",OC(=O)C(=Cc1ccc2N(C3CCCC3c2c1)c4ccc(cc4)C=C(c5ccccc5)c6ccccc6)C#N,SnO2; TiO2; ZnO; titania,I−/I3−,FTO; ITO; glass,elsevier; rsc,metal_free_smiles_screen; organic_keyword:cyanoacrylic,10.1016/j.dyepig.2011.02.009; 10.1016/j.elecom.2009.12.030; 10.1016/j.electacta.2013.01.128; 10.1016/j.electacta.2013.05.062; 10.1016/j.electacta.2015.10.191,An organic redox mediator for dye -sensitized solar cells with near unity quantum efficiency   | Black-Dye-Based Dye-Sensitized Solar Cells using the Electrolyte Solutions Containing a Quaternary Phosphonium Iodide with a Various Alkyl Chain Length | Boosting the efficiency of aqueous solar cells: A photoelectrochemical estimation on the effectiveness of TiCl4 treatment
Image 60,metal_free_candidate_uncertain,1,103.0,103.0,0.817,67.3,7.09,,,,,,elsevier,no_heavy_metal_keyword_detected,10.1016/j.rser.2017.05.011,"An overview on basics of organic and dye sensitized solar cells, their mechanism and recent improvements"
1 day after DSC fabrication,metal_free_candidate_uncertain,20,7.367,100.0,2.089,410.1818,56.5455,,,TiO2,,,rsc,no_heavy_metal_keyword_detected,10.1039/C5RA25447G,Combining phosphonic acid-functionalized anchoring ligands with asymmetric ancillary ligands in bis(diimine)copper( i ) dyes for dye-sensitized solar cells  
7 days after DSC fabrication,metal_free_candidate_uncertain,20,7.5405,100.0,2.588,417.4545,52.1818,,,TiO2,,,rsc,no_heavy_metal_keyword_detected,10.1039/C5RA25447G,Combining phosphonic acid-functionalized anchoring ligands with asymmetric ancillary ligands in bis(diimine)copper( i ) dyes for dye-sensitized solar cells  
