dye_raw,eco_class,valid_record_count,avg_pce_percent,max_pce_percent,avg_jsc_raw,avg_voc_raw,avg_ff_raw,example_name,example_smiles,common_semiconductors,common_redox_couples,common_substrates,sources,screening_reasons,example_dois,example_titles
TT1 + DCM,metal_free_candidate_uncertain,2,16.755,29.0,19.305,295.7,0.36,,,,I−/I3−,,rsc,no_excluded_metal_keyword_detected,10.1039/C0EE00536C,Panchromatic engineering for dye -sensitized solar cells 
Change ( % ),metal_free_candidate_uncertain,1,29.0,29.0,30.0,-2.7,1.7,,,,I−/I3−,,rsc,no_excluded_metal_keyword_detected,10.1039/C0EE00536C,Panchromatic engineering for dye -sensitized solar cells 
Y1A1,metal_free_candidate_uncertain,3,22.5667,28.9,82.4,0.58,0.7647,,,TiO2,,ITO,elsevier,no_excluded_metal_keyword_detected,10.1016/j.cclet.2019.08.022,Recent progress of thin-film photovoltaics for indoor application
TY6,metal_free_candidate_uncertain,2,24.64,28.56,795.0,0.71,0.787,,,TiO2,,ITO,elsevier,no_excluded_metal_keyword_detected,10.1016/j.cclet.2019.08.022,Recent progress of thin-film photovoltaics for indoor application
MD7,metal_free_organic_candidate,1,27.17,27.17,913.0,0.676,0.764,,C1CC1C(C(C#N)C(=O)NC2=CC=C(C=C2)C3=CC=CC=C3)O,TiO2,,ITO,elsevier,metal_free_smiles_screen,10.1016/j.cclet.2019.08.022,Recent progress of thin-film photovoltaics for indoor application
TT1 + PTCDI,metal_free_candidate_uncertain,3,10.9033,26.0,15.0333,377.8,-0.04,,,,I−/I3−,,rsc,no_excluded_metal_keyword_detected,10.1039/C0EE00536C,Panchromatic engineering for dye -sensitized solar cells 
Mean,metal_free_organic_candidate,20,4.3055,24.2,3.2314,0.3161,57.6786,,C(CO)N.[N+](=O)(O)[O-],,,,elsevier,metal_free_smiles_screen,10.1016/j.tet.2018.04.043,"Azulene – Thiophene – Cyanoacrylic acid dyes with donor-π-acceptor structures. Synthesis, characterisation and evaluation in dye-sensitized solar cells"
MD5,metal_free_organic_candidate,1,23.17,23.17,762.0,0.651,0.79,,C1=CC(=CC(=C1)[N+](=O)[O-])CSC[C@@H](C(=O)O)NC(=O)C(=O)O,TiO2,,ITO,elsevier,metal_free_smiles_screen,10.1016/j.cclet.2019.08.022,Recent progress of thin-film photovoltaics for indoor application
[],metal_free_candidate_uncertain,7,13.1657,22.0,33.575,385.3021,63.3333,,,,,,elsevier,no_excluded_metal_keyword_detected,10.1016/j.cis.2019.03.001; 10.1016/j.energy.2018.06.021; 10.1016/j.jmat.2018.11.007,A review of solar photovoltaic-thermoelectric hybrid system for electricity generation | Core-shell nanomaterials: Applications in energy storage and conversion | Integration of silicon nanowires in solar cell structure for efficiency enhancement: A review
Equivalent circuit method,metal_free_candidate_uncertain,1,22.0,22.0,,0.64,,,,,,,elsevier,no_excluded_metal_keyword_detected,10.1016/j.energy.2018.06.021,A review of solar photovoltaic-thermoelectric hybrid system for electricity generation
24.60 %,metal_free_candidate_uncertain,1,22.0,22.0,,0.64,,,,,,,elsevier,no_excluded_metal_keyword_detected,10.1016/j.energy.2018.06.021,A review of solar photovoltaic-thermoelectric hybrid system for electricity generation
1.389 mW,metal_free_candidate_uncertain,1,22.0,22.0,,0.64,,,,,,,elsevier,no_excluded_metal_keyword_detected,10.1016/j.energy.2018.06.021,A review of solar photovoltaic-thermoelectric hybrid system for electricity generation
Smaller spacing between thermoelements gives higher output p,metal_free_candidate_uncertain,1,22.0,22.0,,0.64,,,,,,,elsevier,no_excluded_metal_keyword_detected,10.1016/j.energy.2018.06.021,A review of solar photovoltaic-thermoelectric hybrid system for electricity generation
1 sun,metal_free_candidate_uncertain,1,22.0,22.0,,0.64,,,,,,,elsevier,no_excluded_metal_keyword_detected,10.1016/j.energy.2018.06.021,A review of solar photovoltaic-thermoelectric hybrid system for electricity generation
SJW-E1,metal_free_candidate_uncertain,2,15.31,21.6,21.6,11.13,11.11,,,TiO2,,,elsevier,no_excluded_metal_keyword_detected,10.1016/j.rser.2016.06.045; 10.1016/j.solener.2014.08.002,"An overview on the spectrum of sensitizers: The heart of Dye Sensitized Solar Cells | Dye-sensitised solar cells: Development, structure, operation principles, electron kinetics, characterisation, synthesis materials and natural photosensitisers"
D131,metal_free_organic_candidate,148,4.1818,20.55,8.9409,5.9074,4.9271,"2-Cyano-3-[4-[4-(2,2-diphenylethenyl)phenyl]-1,2,3,3a,4,8b-hexahydrocyclopent[b]indol-7-yl]-2-propenoic acid",OC(=O)C(=Cc1ccc2N(C3CCCC3c2c1)c4ccc(cc4)C=C(c5ccccc5)c6ccccc6)C#N,SnO2; TiO2; ZnO; titania,I−/I3−,FTO; ITO; glass,elsevier; rsc,metal_free_smiles_screen; organic_keyword:cyanoacrylic,10.1016/j.dyepig.2011.02.009; 10.1016/j.elecom.2009.12.030; 10.1016/j.electacta.2013.01.128; 10.1016/j.electacta.2013.05.062; 10.1016/j.electacta.2015.10.191,An organic redox mediator for dye -sensitized solar cells with near unity quantum efficiency   | Black-Dye-Based Dye-Sensitized Solar Cells using the Electrolyte Solutions Containing a Quaternary Phosphonium Iodide with a Various Alkyl Chain Length | Boosting the efficiency of aqueous solar cells: A photoelectrochemical estimation on the effectiveness of TiCl4 treatment
1110 mV,metal_free_candidate_uncertain,1,20.41,20.41,,1110.0,,,,,,,rsc,no_excluded_metal_keyword_detected,10.1039/C8RA10014D,Simultaneous electrochemical solar power generation and storage using metanil yellow-formic acid as a new sensitizer-reductant couple in photogalvanic cells  
