source,eco_class,screening_reason,dye_raw,dye_name,dye_smiles,semiconductor,substrate,redox_couple,counter_electrode,electrolyte,voc_raw,jsc_raw,ff_raw,pce_percent,title,doi,date,journal,publisher
rsc,metal_free_organic_candidate,metal_free_smiles_screen,D131,"2-Cyano-3-[4-[4-(2,2-diphenylethenyl)phenyl]-1,2,3,3a,4,8b-hexahydrocyclopent[b]indol-7-yl]-2-propenoic acid",OC(=O)C(=Cc1ccc2N(C3CCCC3c2c1)c4ccc(cc4)C=C(c5ccccc5)c6ccccc6)C#N,TiO2,,,,,0.656,10.0,69,4.57,An organic redox mediator for dye -sensitized solar cells with near unity quantum efficiency  ,10.1039/C0EE00519C,2011/02/01,Energy & Environmental Science,Royal Society of Chemistry
rsc,metal_free_organic_candidate,metal_free_smiles_screen,D131,"2-Cyano-3-[4-[4-(2,2-diphenylethenyl)phenyl]-1,2,3,3a,4,8b-hexahydrocyclopent[b]indol-7-yl]-2-propenoic acid",OC(=O)C(=Cc1ccc2N(C3CCCC3c2c1)c4ccc(cc4)C=C(c5ccccc5)c6ccccc6)C#N,TiO2,,,,,0.656,10.0,69,4.57,An organic redox mediator for dye -sensitized solar cells with near unity quantum efficiency  ,10.1039/C0EE00519C,2011/02/01,Energy & Environmental Science,Royal Society of Chemistry
rsc,metal_free_organic_candidate,metal_free_smiles_screen,D131,"2-Cyano-3-[4-[4-(2,2-diphenylethenyl)phenyl]-1,2,3,3a,4,8b-hexahydrocyclopent[b]indol-7-yl]-2-propenoic acid",OC(=O)C(=Cc1ccc2N(C3CCCC3c2c1)c4ccc(cc4)C=C(c5ccccc5)c6ccccc6)C#N,TiO2,,,,,0.562,0.99,73,4.05,An organic redox mediator for dye -sensitized solar cells with near unity quantum efficiency  ,10.1039/C0EE00519C,2011/02/01,Energy & Environmental Science,Royal Society of Chemistry
rsc,metal_free_organic_candidate,metal_free_smiles_screen,D131,"2-Cyano-3-[4-[4-(2,2-diphenylethenyl)phenyl]-1,2,3,3a,4,8b-hexahydrocyclopent[b]indol-7-yl]-2-propenoic acid",OC(=O)C(=Cc1ccc2N(C3CCCC3c2c1)c4ccc(cc4)C=C(c5ccccc5)c6ccccc6)C#N,TiO2,,,,,0.808,10.8,24,2.08,An organic redox mediator for dye -sensitized solar cells with near unity quantum efficiency  ,10.1039/C0EE00519C,2011/02/01,Energy & Environmental Science,Royal Society of Chemistry
rsc,metal_free_organic_candidate,metal_free_smiles_screen,D131,"2-Cyano-3-[4-[4-(2,2-diphenylethenyl)phenyl]-1,2,3,3a,4,8b-hexahydrocyclopent[b]indol-7-yl]-2-propenoic acid",OC(=O)C(=Cc1ccc2N(C3CCCC3c2c1)c4ccc(cc4)C=C(c5ccccc5)c6ccccc6)C#N,TiO2,,,,,0.732,1.10,64,5.13,An organic redox mediator for dye -sensitized solar cells with near unity quantum efficiency  ,10.1039/C0EE00519C,2011/02/01,Energy & Environmental Science,Royal Society of Chemistry
rsc,metal_free_organic_candidate,metal_free_smiles_screen,D131,"2-Cyano-3-[4-[4-(2,2-diphenylethenyl)phenyl]-1,2,3,3a,4,8b-hexahydrocyclopent[b]indol-7-yl]-2-propenoic acid",OC(=O)C(=Cc1ccc2N(C3CCCC3c2c1)c4ccc(cc4)C=C(c5ccccc5)c6ccccc6)C#N,TiO2,,,,,0.781,9.16,52,3.88,An organic redox mediator for dye -sensitized solar cells with near unity quantum efficiency  ,10.1039/C0EE00519C,2011/02/01,Energy & Environmental Science,Royal Society of Chemistry
rsc,metal_free_organic_candidate,metal_free_smiles_screen,D131,"2-Cyano-3-[4-[4-(2,2-diphenylethenyl)phenyl]-1,2,3,3a,4,8b-hexahydrocyclopent[b]indol-7-yl]-2-propenoic acid",OC(=O)C(=Cc1ccc2N(C3CCCC3c2c1)c4ccc(cc4)C=C(c5ccccc5)c6ccccc6)C#N,TiO2,,,,,0.672,0.83,56,3.41,An organic redox mediator for dye -sensitized solar cells with near unity quantum efficiency  ,10.1039/C0EE00519C,2011/02/01,Energy & Environmental Science,Royal Society of Chemistry
rsc,metal_free_organic_candidate,organic_keyword:cyanoacrylic,D35,"(E)-3-(5-(4-(bis(2',4'-dibutoxy-[1,1'-biphenyl]-4-yl)amino)phenyl)thiophen-2-yl)-2-cyanoacrylic acid",CCCCOc1ccc(c(OCCCC)c1)c2ccc(cc2)N(c3ccc(cc3)c4sc(cc4)\C=C(C#N)\C(O)=O)c5ccc(cc5)c6ccc(OCCCC)cc6OCCCC,,,,,,0.85,10.8,0.71,6.5,Investigation of cobalt redox mediators and effects of TiO 2 film topology in dye-sensitized solar cells  ,10.1039/C6RA07107D,2016/06/13,RSC Advances,Royal Society of Chemistry
rsc,metal_free_organic_candidate,organic_keyword:cyanoacrylic,D35,"(E)-3-(5-(4-(bis(2',4'-dibutoxy-[1,1'-biphenyl]-4-yl)amino)phenyl)thiophen-2-yl)-2-cyanoacrylic acid",CCCCOc1ccc(c(OCCCC)c1)c2ccc(cc2)N(c3ccc(cc3)c4sc(cc4)\C=C(C#N)\C(O)=O)c5ccc(cc5)c6ccc(OCCCC)cc6OCCCC,,,,,,0.850,9.9,0.70,5.8,Investigation of cobalt redox mediators and effects of TiO 2 film topology in dye-sensitized solar cells  ,10.1039/C6RA07107D,2016/06/13,RSC Advances,Royal Society of Chemistry
rsc,metal_free_organic_candidate,organic_keyword:cyanoacrylic,D35,"(E)-3-(5-(4-(bis(2',4'-dibutoxy-[1,1'-biphenyl]-4-yl)amino)phenyl)thiophen-2-yl)-2-cyanoacrylic acid",CCCCOc1ccc(c(OCCCC)c1)c2ccc(cc2)N(c3ccc(cc3)c4sc(cc4)\C=C(C#N)\C(O)=O)c5ccc(cc5)c6ccc(OCCCC)cc6OCCCC,,,,,,0.595,5.2,0.51,1.6,Investigation of cobalt redox mediators and effects of TiO 2 film topology in dye-sensitized solar cells  ,10.1039/C6RA07107D,2016/06/13,RSC Advances,Royal Society of Chemistry
