dye_raw,eco_class,valid_record_count,avg_pce_percent,max_pce_percent,avg_jsc_raw,avg_voc_raw,avg_ff_raw,example_name,example_smiles,common_semiconductors,common_redox_couples,common_substrates,sources,screening_reasons,example_dois,example_titles
D131,metal_free_organic_candidate,148,4.1818,20.55,8.9409,5.9074,4.9271,"2-Cyano-3-[4-[4-(2,2-diphenylethenyl)phenyl]-1,2,3,3a,4,8b-hexahydrocyclopent[b]indol-7-yl]-2-propenoic acid",OC(=O)C(=Cc1ccc2N(C3CCCC3c2c1)c4ccc(cc4)C=C(c5ccccc5)c6ccccc6)C#N,SnO2; TiO2; ZnO; titania,I−/I3−,FTO; ITO; glass,elsevier; rsc,metal_free_smiles_screen; organic_keyword:cyanoacrylic,10.1016/j.dyepig.2011.02.009; 10.1016/j.elecom.2009.12.030; 10.1016/j.electacta.2013.01.128; 10.1016/j.electacta.2013.05.062; 10.1016/j.electacta.2015.10.191,An organic redox mediator for dye -sensitized solar cells with near unity quantum efficiency   | Black-Dye-Based Dye-Sensitized Solar Cells using the Electrolyte Solutions Containing a Quaternary Phosphonium Iodide with a Various Alkyl Chain Length | Boosting the efficiency of aqueous solar cells: A photoelectrochemical estimation on the effectiveness of TiCl4 treatment
Y123,metal_free_organic_candidate,681,6.7872,20.25,7.1366,660.5762,16.3239,"3-{6-{4-[bis(2',4'-dihexyloxybiphenyl-4-yl)amino-]phenyl}-4,4-dihexyl-cyclopenta-[2,1-b:3,4-b']dithiphene-2-yl}-2-cyanoacrylic acid",CCCCCCOc1ccc(c(OCCCCCC)c1)c2ccc(cc2)N(c3ccc(cc3)c4sc5c6sc(C=C(C#N)C(O)=O)cc6C(CCCCCC)(CCCCCC)c5c4)c7ccc(cc7)c8ccc(OCCCCCC)cc8OCCCCCC,TiO2,I3−/I−; I3−/I−1; I−/I3−; triiodide/iodide,FTO; glass,elsevier; rsc,organic_keyword:cyanoacrylic; organic_keyword:cyanoacrylic|thiophene,10.1016/j.electacta.2016.02.097; 10.1016/j.electacta.2017.08.080; 10.1016/j.electacta.2018.01.142; 10.1016/j.jechem.2017.12.003; 10.1016/j.joule.2018.03.017,A new generation of platinum and iodine free efficient dye-sensitized solar cells   | Alternative bases to 4-tert-butylpyridine for dye-sensitized solar cells employing copper redox mediator | An investigation of the roles furan versus thiophene π-bridges play in donor–π-acceptor porphyrin based DSSCs  
RK1,metal_free_organic_candidate,136,7.56,17.2,15.563,21.1406,18.899,"2-cyano-3-(4-(7-(5-(4- (diphenylamino)phenyl)-4- octylthiophen-2-yl)benzo[c][1,2,5] thiadiazol-4-yl)phenyl) acrylic acid",CCCCCCCCc1cc(sc1c2ccc(cc2)N(c3ccccc3)c4ccccc4)c5ccc(c6ccc(cc6)C=C(C#N)C(O)=O)c7nsnc57,TiO2,I−/I3−; triiodide/iodide,glass,elsevier; rsc,metal_free_smiles_screen,10.1016/j.solener.2019.08.048; 10.1039/C4CC09888A; 10.1039/C5EE00444F; 10.1039/C5RA11762C; 10.1039/C8TA01826J,"Metal-free organic sensitizers with narrow absorption in the visible for solar cells exceeding 10% efficiency   | New generation solar cells: concepts, trends and perspectives  | Organic dyes for the sensitization of nanostructured ZnO photoanodes: effect of the anchoring functions  "
LEG4,metal_free_organic_candidate,101,5.655,14.7,8.9008,607.5756,24.8479,"3-{6-{4-[bis(2',4'-dibutyloxybiphenyl-4-yl)amino-]phenyl}-4,4-dihexyl-cyclopenta-[2,1-b:3,4-b']dithiophene-2-yl}-2-cyanoacrylic acid",CCCCOc1ccc(c(OCCCC)c1)c2ccc(cc2)N(c3ccc(cc3)c4sc(cc4)c5sc(cc5)\C=C(C#N)\C(O)=O)c6ccc(cc6)c7ccc(OCCCC)cc7OCCCC,SnO2; TiO2,I−/I3−; iodide/triiodide,FTO; glass,elsevier; rsc,organic_keyword:cyanoacrylic|thiophene,10.1016/j.electacta.2013.06.005; 10.1016/j.electacta.2014.07.125; 10.1016/j.electacta.2016.05.083; 10.1016/j.jphotochem.2016.05.015; 10.1016/j.nanoen.2015.09.010,"Bis(1,1-bis(2-pyridyl)ethane)copper( i / ii ) as an efficient redox couple for liquid dye-sensitized solar cells   | Combination of Asymmetric Supercapacitor Utilizing Activated Carbon and Nickel Oxide with Cobalt Polypyridyl-Based Dye-Sensitized Solar Cell | Efficient dye regeneration at low driving force achieved in triphenylamine dye LEG4 and TEMPO redox mediator based dye-sensitized solar cells  "
P1,metal_free_organic_candidate,242,0.8152,13.79,4.2282,88.6845,31.6621,"4-(Bis-{4-[5-(2,2-dicyano-vinyl)-thiophene-2-yl]-phenyl}-amino)-benzoic acid",OC(=O)c1ccc(cc1)N(c2ccc(cc2)c3sc(cc3)C=C(C#N)C#N)c4ccc(cc4)c5sc(cc5)C=C(C#N)C#N,0.53; 0.81; NiO; SnO2; TiO2,I-/I3-; I3−/I−; I−/I3-; I−/I3−; triiodide/iodide,FTO; NiO; glass,elsevier; rsc,organic_keyword:cyanoacrylic|thiophene; organic_keyword:thiophene,10.1016/j.ccr.2015.03.020; 10.1016/j.dyepig.2011.04.010; 10.1016/j.dyepig.2019.108032; 10.1016/j.electacta.2018.09.204; 10.1016/j.jallcom.2015.12.044,"A comprehensive comparison of dye-sensitized NiO photocathodes for solar energy conversion   | A new family of A 2 B 2 type porphyrin derivatives: synthesis, physicochemical characterization and their application in dye -sensitized solar cells   | A study of oligothiophene–acceptor dyes in p-type dye-sensitized solar cells  "
WS-72,metal_free_organic_candidate,7,11.2714,11.7,11.0714,153.7443,0.7829,"(E)-3-(6-(8-(4-(bis(2',4'-bis(hexyloxy)-[1,1'-biphenyl]-4-yl)amino)phenyl)-2,3-bis(4-(hexyloxy)phenyl)quinoxalin-5-yl)-4,4-dihexyl-4H-cyclopenta[2,1-b:3,4-b']dithiophen-2-yl)-2-cyanoacrylic acid",CCCCCCOc1ccc(cc1)c2nc3c(ccc(c4ccc(cc4)N(c5ccc(cc5)c6ccc(OCCCCCC)cc6OCCCCCC)c7ccc(cc7)c8ccc(OCCCCCC)cc8OCCCCCC)c3nc2c9ccc(OCCCCCC)cc9)c%10sc%11c%12sc(\C=C(C#N)\C(O)=O)cc%12C(CCCCCC)(CCCCCC)c%11c%10,TiO2,,,elsevier; rsc,organic_keyword:cyanoacrylic,10.1016/j.solener.2019.10.061; 10.1039/C8EE00661J; 10.1039/C8TC03542C,Comprehensive control of voltage loss enables 11.7% efficient solid-state dye-sensitized solar cells   | Novel metal-free organic dyes constructed with the D-D|A-π-A motif: Sensitization and co-sensitization study | The researcher's guide to solid-state dye-sensitized solar cells 
C218,metal_free_organic_candidate,14,7.8514,9.6,12.9107,104.9556,0.72,"(E)-3-(6-(4-(bis(4-(hexyloxy)phenyl)amino)phenyl)-4,4-dihexyl-4H-cyclopenta[2,1-b:3,4-b']dithiophen-2-yl)-2-cyanoacrylic acid",CCCCCCOc1ccc(cc1)N(c2ccc(OCCCCCC)cc2)c3ccc(cc3)c4sc5c6sc(\C=C(C#N)\C(O)=O)cc6C(CCCCCC)(CCCCCC)c5c4,TiO2,I3−/I−; iodide/triiodide,FTO; glass,elsevier; rsc,organic_keyword:cyanoacrylic; organic_keyword:cyanoacrylic|thiophene,10.1016/j.ccr.2016.05.008; 10.1016/j.orgel.2014.08.058; 10.1039/C0EE00735H; 10.1039/C1EE01633D; 10.1039/C1EE02432A,"Coupled analysis of steady-state and dynamic characteristics of dye -sensitized solar cells for determination of conduction band movement and recombination parameters   | Efficient organic dye -sensitized thin-film solar cells based on the tris(1,10-phenanthroline)cobalt(II/III) redox shuttle   | Electrical and photophysical analyses on the impacts of arylamine electron donors in cyclopentadithiophene dye -sensitized solar cells  "
XY1,metal_free_organic_candidate,5,8.254,9.15,12.794,947.4,0.686,"(E)-3-(4-(6-(7-(4-(bis(2',4'-bis((2-ethylhexyl)oxy)-[1,1'-biphenyl]-4-yl)amino)phenyl)benzo[c][1,2,5]thiadiazol-4-yl)-4,4-bis(2-ethylhexyl)-4H-cyclopenta[2,1-b:3,4-b']dithiophen-2-yl)phenyl)-2-cyanoacrylic acid",CCCCC(CC)COc1ccc(c(OCC(CC)CCCC)c1)c2ccc(cc2)N(c3ccc(cc3)c4ccc(OCC(CC)CCCC)cc4OCC(CC)CCCC)c5ccc(cc5)c6ccc(c7sc8c9sc(cc9C(CC(CC)CCCC)(CC(CC)CCCC)c8c7)c%10ccc(cc%10)\C=C(C#N)\C(O)=O)c%11nsnc6%11,,,,rsc,organic_keyword:cyanoacrylic,10.1039/C9TA00490D,A tandem redox system with a cobalt complex and 2-azaadamantane- N -oxyl for fast dye regeneration and open circuit voltages exceeding 1 V  
D205,metal_free_organic_candidate,90,4.4165,8.6,11.097,111.4347,20.2466,"5-[[4-[4-(2,2-Diphenylethenyl)phenyl]-1,2,3,3a,4,8b-hexahydrocyclopent[b]indol-7-yl]methylene]-2-(3-octyl-4-oxo-2-thioxo-5-thiazolidinylidene)-4-oxo-3-thiazolidineacetic acid",CCCCCCCCN1C(=S)SC(C1=O)=C2SC(=Cc3ccc4N(C5CCCC5c4c3)c6ccc(cc6)C=C(c7ccccc7)c8ccccc8)C(=O)N2CC(O)=O,TiO2; Zn2SnO4; ZnO,I3−/I−; I−/I3−; iodide/triiodide,FTO; glass,elsevier; rsc,organic_keyword:indoline,10.1016/j.ccr.2017.09.026; 10.1016/j.dyepig.2017.12.064; 10.1016/j.dyepig.2018.03.072; 10.1016/j.electacta.2011.08.006; 10.1016/j.electacta.2013.10.129,"A gel-state dye-sensitized hierarchically structured ZnO solar cell: Retention of power conversion efficiency and durability | An enhancement of photo-performance of dye sensitized solid-state cell by avoiding formation of dye aggregates | Application of indoline dyes attached with strongly electron-withdrawing carboxylated indan-1,3-dione analogues linked with a hexylthiophene ring to dye-sensitized solar cells"
D102,metal_free_organic_candidate,150,2.638,8.49,6.4761,294.0513,12.7104,"(5-{4-[4-(2,2-diphenyl-vinyl)phenyl]-1,2,3,3a,4,8b-hexahydrocyclopenta[b]indol-7-ylmethylene}-4-oxo-2-thioxo-thiazolidin-3-yl)acetic acid",OC(=O)CN1C(=S)SC(=C/c2ccc3N(C4CCCC4c3c2)c5ccc(cc5)C=C(c6ccccc6)c7ccccc7)\C1=O,TiO2; Zn2SnO4; ZnO; titania,I−/I3−; iodide/triiodide,FTO; ITO; glass; indium tin oxide,elsevier; rsc,metal_free_smiles_screen,10.1016/j.apenergy.2011.03.037; 10.1016/j.ceramint.2014.07.122; 10.1016/j.dyepig.2014.09.004; 10.1016/j.elecom.2009.12.030; 10.1016/j.electacta.2011.08.006,An enhancement of photo-performance of dye sensitized solid-state cell by avoiding formation of dye aggregates | Carbazole-based hole transporting material for solid state dye-sensitized solar cells: Influence of the purification methods | Di( p -methoxyphenyl)amine end-capped tri( p -thiophenylphenyl)amine based molecular glasses as hole transporting materials for solid-state dye-sensitized solar cells  
