dye_raw,eco_class,valid_record_count,avg_pce_percent,max_pce_percent,avg_jsc_raw,avg_voc_raw,avg_ff_raw,example_name,example_smiles,common_semiconductors,common_redox_couples,common_substrates,sources,screening_reasons,example_dois,example_titles
P. pterocarpum,natural_or_bio_based_candidate,3,7.05,8.22,13.3533,0.845,62.1367,,,TiO2,,,elsevier,natural_or_plant_name_screen,10.1016/j.matlet.2018.02.085,Performance of TiO2 based dye-sensitized solar cells fabricated with dye extracted from leaves of Peltophorum pterocarpum and Acalypha amentacea as sensitizer
A. amentacea,natural_or_bio_based_candidate,4,5.205,7.38,11.01,0.7572,62.235,,,TiO2; ZnO,,,elsevier,natural_or_plant_name_screen,10.1016/j.matlet.2018.02.085; 10.1016/j.matlet.2019.02.072,Performance of TiO2 based dye-sensitized solar cells fabricated with dye extracted from leaves of Peltophorum pterocarpum and Acalypha amentacea as sensitizer | The preparation of dye sensitized solar cells using natural dyes extracted from Phytolacca icosandra and Phyllanthus reticulatus with ZnO as photoanode
P. pterocarpum - Ethanol ( natural ),natural_or_bio_based_candidate,1,6.07,6.07,11.47,0.725,70.08,,,ZnO,,FTO,elsevier,keyword:natural; natural_or_plant_name_screen,10.1016/j.optmat.2018.06.011,"Optical, spectral and photovoltaic characterization of natural dyes extracted from leaves of Peltophorum pterocarpum and Acalypha amentacea used as sensitizers for ZnO based dye sensitized solar cells"
P. pterocarpum - Water ( natural ),natural_or_bio_based_candidate,1,5.32,5.32,10.41,0.737,69.33,,,ZnO,,FTO,elsevier,keyword:natural; natural_or_plant_name_screen,10.1016/j.optmat.2018.06.011,"Optical, spectral and photovoltaic characterization of natural dyes extracted from leaves of Peltophorum pterocarpum and Acalypha amentacea used as sensitizers for ZnO based dye sensitized solar cells"
A. Amantacea - Ethanol ( natural ),natural_or_bio_based_candidate,1,4.53,4.53,9.49,0.717,65.93,,,ZnO,,FTO,elsevier,keyword:natural; natural_or_plant_name_screen,10.1016/j.optmat.2018.06.011,"Optical, spectral and photovoltaic characterization of natural dyes extracted from leaves of Peltophorum pterocarpum and Acalypha amentacea used as sensitizers for ZnO based dye sensitized solar cells"
Indigofera arrecta ( natural ),natural_or_bio_based_candidate,1,4.16,4.16,6.8,0.84,54.0,,,ZnO,,FTO,elsevier,keyword:indigo|natural; natural_or_plant_name_screen,10.1016/j.optmat.2018.06.011,"Optical, spectral and photovoltaic characterization of natural dyes extracted from leaves of Peltophorum pterocarpum and Acalypha amentacea used as sensitizers for ZnO based dye sensitized solar cells"
Spinach,natural_or_bio_based_candidate,12,1.0938,4.0,3.4957,128.0273,18.8313,,,TiO2; ZnO,I−/I3−,FTO; glass,elsevier,keyword:spinach; natural_or_plant_name_screen,10.1016/j.rser.2011.07.148; 10.1016/j.rser.2015.07.052; 10.1016/j.rser.2016.06.045; 10.1016/j.rser.2017.04.075; 10.1016/j.saa.2015.03.120,"Dye-sensitised solar cells: Development, structure, operation principles, electron kinetics, characterisation, synthesis materials and natural photosensitisers | Progress in dye sensitized solar cell by incorporating natural photosensitizers | Recent advances in hybrid solar cells based on natural dye extracts from Indian plant pigment as sensitizers"
Spinach(Isolated compounds ),natural_or_bio_based_candidate,1,4.0,4.0,12.5,0.54,0.59,,,,T2/T−,,elsevier,keyword:spinach; natural_or_plant_name_screen,10.1016/j.rser.2016.12.087,Performance improvement of modified dye-sensitized solar cells
A. Amantacea - Water ( natural ),natural_or_bio_based_candidate,1,3.93,3.93,8.09,0.725,67.8,,,ZnO,,FTO,elsevier,keyword:natural; natural_or_plant_name_screen,10.1016/j.optmat.2018.06.011,"Optical, spectral and photovoltaic characterization of natural dyes extracted from leaves of Peltophorum pterocarpum and Acalypha amentacea used as sensitizers for ZnO based dye sensitized solar cells"
ID1,natural_or_bio_based_candidate,2,3.425,3.52,8.345,619.5,0.68,,,TiO2,I−/I3−,,elsevier,keyword:indigo; natural_or_plant_name_screen; no_excluded_metal_keyword_detected,10.1016/j.dyepig.2014.07.017; 10.1016/j.synthmet.2013.09.039,"Near-infrared absorbing isoindigo sensitizers: Synthesis and performance for dye-sensitized solar cells | Series of D-π-A system based on isoindigo dyes for DSSC: Synthesis, electrochemical and photovoltaic properties"
Beetroot,natural_or_bio_based_candidate,6,1.1495,3.0,3.2916,255.3606,35.735,,,TiO2; TiO2 + ZrO2; ZnO,,FTO; glass,elsevier,keyword:beetroot; natural_or_plant_name_screen,10.1016/j.matlet.2019.02.072; 10.1016/j.rser.2017.04.075; 10.1016/j.saa.2015.03.120; 10.1016/j.solener.2016.08.003,Recent advances in hybrid solar cells based on natural dye extracts from Indian plant pigment as sensitizers | Recent progress and utilization of natural pigments in dye sensitized solar cells: A review | The preparation of dye sensitized solar cells using natural dyes extracted from Phytolacca icosandra and Phyllanthus reticulatus with ZnO as photoanode
C. pulcherrima,natural_or_bio_based_candidate,2,1.95,3.0,4.795,610.0,66.45,,,TiO2,I−/I3−,,elsevier,natural_or_plant_name_screen,10.1016/j.carbon.2016.04.012,Inkjet-printed graphene electrodes for dye-sensitized solar cells
( 3 ) Natural dyes : anthocyanin with tannin,natural_or_bio_based_candidate,1,3.0,3.0,3.0,3.0,3.0,,,TiO2,,FTO,elsevier,keyword:anthocyanin|natural; natural_or_plant_name_screen,10.1016/j.solener.2014.05.004,ORAC and VIS spectroscopy as a guideline for unmodified red–purple natural dyes selection in dye-sensitized solar cells
ID2,natural_or_bio_based_candidate,1,3.0,3.0,6.4,660.0,0.71,,C1[C@@H]([C@H](O[C@H]1N2C=C(C(=O)NC2=O)I)CO)O,,I−/I3−,,elsevier,keyword:indigo; natural_or_plant_name_screen,10.1016/j.synthmet.2013.09.039,"Series of D-π-A system based on isoindigo dyes for DSSC: Synthesis, electrochemical and photovoltaic properties"
Beetroot ( natural ),natural_or_bio_based_candidate,1,2.99,2.99,0.99,0.15,21.0,,,ZnO,,FTO,elsevier,keyword:natural|beetroot; natural_or_plant_name_screen,10.1016/j.optmat.2018.06.011,"Optical, spectral and photovoltaic characterization of natural dyes extracted from leaves of Peltophorum pterocarpum and Acalypha amentacea used as sensitizers for ZnO based dye sensitized solar cells"
ID3,natural_or_bio_based_candidate,1,2.57,2.57,6.24,630.0,0.65,,,,I−/I3−,,elsevier,keyword:indigo; natural_or_plant_name_screen,10.1016/j.synthmet.2013.09.039,"Series of D-π-A system based on isoindigo dyes for DSSC: Synthesis, electrochemical and photovoltaic properties"
Hibiscus sabdariffa + Eosin-Y,natural_or_bio_based_candidate,1,2.02,2.02,4.01,0.67,0.6,,,TiO2,,,elsevier,keyword:hibiscus; natural_or_plant_name_screen,10.1016/j.optmat.2018.03.056,Fabrication and characterization of mixed dye: Natural and synthetic organic dye
